X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area
514418.325,4914209.2385,1,EA001.00,A,30,30,2.2,0.15,8,3.4,31,163,2009/04/06 00:00:00+00,44.38102,-68.819,EA
516928.5648,4916295.7247,2,EA003.50,P,30,30,2.3,0.23,18,4.6,31,163,2009/09/08 00:00:00+00,44.39975,-68.78742,EA
515741.6422,4916119.4726,3,EA004.00,P,30,30,2.2,0.21,13,4.2,31,163,2009/03/25 00:00:00+00,44.39819,-68.80233,EA
518018.146,4916806.2638,4,EA005.00,A,30,30,2.1,0.13,7.3,3.2,31,163,2009/04/06 00:00:00+00,44.40432,-68.77372,EA
518997.314,4919353.8145,5,EA006.00,CA,30,30,1.9,0.07,3.6,2.4,31,163,2012/01/03 00:00:00+00,44.42723,-68.76133,EA
520438.7005,4920153.4906,6,EA007.00,A,30,30,2.9,0.69,1700,22.8,31,163,2009/04/06 00:00:00+00,44.43439,-68.74319,EA
521790.3737,4922687.1132,7,EA009.00,A,30,30,2.8,0.44,220,10.4,31,163,2009/04/06 00:00:00+00,44.45716,-68.7261,EA
520818.9115,4923704.7396,8,EA011.00,A,30,30,4.3,0.51,96,20.3,31,163,2009/05/04 00:00:00+00,44.46635,-68.73827,EA
521822.0199,4923925.7401,9,EA012.00,A,30,30,4.5,0.65,1700,31.1,31,163,2009/05/04 00:00:00+00,44.46831,-68.72565,EA
522288.559,4923569.6498,10,EA013.00,A,30,30,3.9,0.45,48,15,31,163,2007/05/01 00:00:00+00,44.46509,-68.7198,EA
523146.9769,4923313.8346,11,EA014.00,P,30,30,4.6,0.65,840,31.7,31,163,2009/06/01 00:00:00+00,44.46276,-68.70902,EA
523179.7605,4922373.1191,12,EA014.90,P,30,30,4.3,0.53,300,20.7,31,163,2009/11/30 00:00:00+00,44.45429,-68.70865,EA
523398.9255,4922269.4899,13,EA015.00,P,30,30,5.5,0.47,50,22.4,31,163,2009/05/04 00:00:00+00,44.45335,-68.7059,EA
522832.8039,4921939.7992,14,EA015.50,A,30,30,3.3,0.42,48,11.5,31,163,2009/04/06 00:00:00+00,44.4504,-68.71303,EA
522164.5324,4921915.274,15,EA016.00,A,30,30,2.2,0.19,8,3.9,31,163,2009/04/06 00:00:00+00,44.4502,-68.72143,EA
521816.9731,4920684.4692,16,EA017.00,A,30,30,2.1,0.16,12,3.4,31,163,2009/04/06 00:00:00+00,44.43913,-68.72585,EA
523525.0949,4916189.5572,17,EA019.00,A,30,30,2.7,0.39,76,8.9,31,163,2009/06/01 00:00:00+00,44.39861,-68.70459,EA
523555.7234,4915867.5443,18,EA019.10,A,30,30,2.9,0.36,56,8.5,31,163,2010/07/13 00:00:00+00,44.39571,-68.70422,EA
525130.5144,4915790.1141,19,EA019.20,R,30,30,3.1,0.58,1520,17.1,31,163,2010/10/27 00:00:00+00,44.39496,-68.68445,EA
525194.4284,4915738.1544,20,EA019.22,R,21,21,2.7,0.33,31,7.5,31,163,2011/04/25 00:00:00+00,44.39449,-68.68365,EA
525223.301,4915686.0597,21,EA019.23,R,21,21,4,0.43,50,14.5,31,163,2011/04/25 00:00:00+00,44.39402,-68.68329,EA
525101.589,4915442.3312,22,EA019.27,R,21,21,2.4,0.31,48,6,31,163,2011/04/25 00:00:00+00,44.39183,-68.68483,EA
525836.0739,4914599.9019,23,EA019.38,R,21,21,2.4,0.32,48,6.3,31,163,2011/04/25 00:00:00+00,44.38422,-68.67565,EA
526097.3777,4914592.0556,24,EA019.39,R,21,21,3.1,0.36,35,9,31,163,2011/04/25 00:00:00+00,44.38414,-68.67237,EA
525978.3102,4914287.2293,25,EA019.42,R,21,21,3.2,0.38,56,10,31,163,2011/04/25 00:00:00+00,44.3814,-68.67388,EA
520565.5778,4917525.8039,26,EA021.00,A,30,30,2.2,0.29,52,5.4,31,163,2009/04/06 00:00:00+00,44.41073,-68.7417,EA
518900.3422,4916561.0605,27,EA023.00,CA,30,30,2.2,0.14,5.4,3.3,31,163,2012/08/07 00:00:00+00,44.40209,-68.76265,EA
517527.2196,4915183.2107,28,EA024.00,CA,30,30,3.1,0.4,29,10.5,31,163,2012/08/07 00:00:00+00,44.38972,-68.77994,EA
518611.7075,4913898.8412,29,EA025.00,A,30,30,2.2,0.23,24,4.4,31,163,2009/04/06 00:00:00+00,44.37813,-68.76637,EA
518936.3188,4913218.8787,30,EA026.00,A,30,30,2.6,0.37,46,7.9,31,163,2009/04/06 00:00:00+00,44.372,-68.76232,EA
519110.8932,4912370.7671,31,EA027.00,A,30,30,2.1,0.19,16,3.8,31,163,2009/04/06 00:00:00+00,44.36436,-68.76016,EA
518645.1175,4911684.0829,32,EA028.00,A,30,30,2,0.12,8,2.9,31,163,2009/04/06 00:00:00+00,44.35819,-68.76603,EA
517126.5729,4913065.0379,33,EA029.00,CA,30,30,2.6,0.29,16,6.3,31,163,2012/08/07 00:00:00+00,44.37066,-68.78504,EA
516909.1367,4913036.7021,34,EA031.00,CA,30,30,2.9,0.39,38,9.5,31,163,2012/08/07 00:00:00+00,44.37041,-68.78777,EA
515757.8278,4906432.6276,35,EB001.00,A,30,30,2.8,0.44,320,10.7,31,163,2009/05/12 00:00:00+00,44.31098,-68.80242,EB
516832.6222,4907478.2966,36,EB002.00,A,30,30,2.3,0.33,50,6.1,31,163,2009/03/24 00:00:00+00,44.32037,-68.78891,EB
518159.3318,4908123.8596,37,EB003.00,A,30,30,2.3,0.26,20,5,31,163,2011/04/04 00:00:00+00,44.32615,-68.77225,EB
519963.6206,4910766.0514,38,EB004.00,CA,30,30,2.3,0.38,132,7.3,31,163,2007/04/10 00:00:00+00,44.34989,-68.74952,EB
520340.1403,4908868.9315,39,EB004.50,A,30,30,2.6,0.35,52,7.5,31,163,2009/05/06 00:00:00+00,44.3328,-68.74487,EB
520724.2405,4909678.7678,40,EB006.00,P,30,30,2.7,0.4,96,9,31,163,2009/03/24 00:00:00+00,44.34008,-68.74002,EB
522376.3931,4907452.7079,41,EB009.00,P,30,30,2.6,0.42,94,9.2,31,163,2009/05/06 00:00:00+00,44.31999,-68.71939,EB
523272.6682,4906790.4943,42,EB010.00,A,30,30,2.7,0.47,280,10.9,31,163,2009/03/24 00:00:00+00,44.314,-68.70818,EB
525628.3769,4905401.97,43,EB012.00,A,30,30,3.9,0.59,340,22.4,31,163,2009/03/24 00:00:00+00,44.30142,-68.67871,EB
525976.3298,4904959.0402,44,EB013.00,A,30,30,3.6,0.56,152,19.2,31,163,2009/03/24 00:00:00+00,44.29742,-68.67437,EB
529432.2259,4903698.5196,45,EB014.50,A,30,30,2.5,0.36,80,7.6,31,163,2009/05/12 00:00:00+00,44.28594,-68.63112,EB
529568.7393,4904742.1365,46,EB015.00,CA,30,30,2.6,0.52,1160,12.4,31,163,2008/11/04 00:00:00+00,44.29533,-68.62935,EB
530809.0517,4905636.4668,47,EB015.80,CA,30,30,3.6,0.7,1080,29.4,31,163,2008/12/01 00:00:00+00,44.30333,-68.61375,EB
530999.2786,4905724.0048,48,EB016.00,R,30,30,4,0.53,180,19.6,31,163,2011/01/03 00:00:00+00,44.30411,-68.61136,EB
530369.844,4904711.3711,49,EB016.50,CA,30,30,3,0.44,68,11,31,163,2008/12/01 00:00:00+00,44.29502,-68.61931,EB
532901.9856,4901218.0478,50,EB018.50,A,30,30,2.6,0.29,34,6.3,31,163,2009/03/24 00:00:00+00,44.26346,-68.58779,EB
533493.8384,4901143.2934,51,EB019.00,CA,30,30,3.2,0.62,1700,20.7,31,163,2008/12/01 00:00:00+00,44.26276,-68.58038,EB
534810.7768,4899662.8496,52,EB020.00,A,30,30,2,0.11,6,2.9,31,163,2009/05/12 00:00:00+00,44.24937,-68.56398,EB
537181.3335,4897391.0303,53,EB022.00,A,30,30,2.4,0.34,88,6.6,31,163,2009/10/05 00:00:00+00,44.2288,-68.53445,EB
524632.8831,4904126.3359,54,EC001.00,A,30,30,2.9,0.47,80,11.9,31,163,2009/03/24 00:00:00+00,44.28997,-68.69125,EC
524882.7126,4903678.5375,55,EC001.50,A,30,30,3.4,0.52,160,16,31,163,2009/03/24 00:00:00+00,44.28593,-68.68814,EC
525021.4635,4903282.5285,56,EC002.00,R,30,30,3.4,0.5,120,14.9,31,163,2009/03/24 00:00:00+00,44.28236,-68.68642,EC
522371.7022,4902991.9204,57,EC003.80,R,19,19,2.3,0.24,13,4.9,30,163,2011/04/13 00:00:00+00,44.27983,-68.71964,EC
522453.523,4903099.9429,58,EC004.00,R,30,30,3.8,0.64,1020,25.6,31,163,2009/03/24 00:00:00+00,44.2808,-68.71861,EC
521920.493,4904051.1573,59,EC005.00,A,30,30,2,0.11,8,2.8,31,163,2009/03/24 00:00:00+00,44.28938,-68.72525,EC
521472.941,4905984.5977,60,EC006.10,A,30,30,2.1,0.28,62,5,31,163,2009/03/24 00:00:00+00,44.3068,-68.73078,EC
525626.1212,4902717.2737,61,EC007.00,A,30,30,2.7,0.44,120,10.2,31,163,2009/03/24 00:00:00+00,44.27725,-68.67887,EC
