X,Y,OBJECTID,Station,Class,Count_,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area
532901.9856,4901218.0478,43,EB018.50,CA,30,2.7,0.4,108,9.3,31,163,2017/01/04 00:00:00+00,44.26346,-68.58779,EB
533493.8384,4901143.2934,44,EB019.00,CA,30,2.9,0.43,200,10.3,31,163,2017/01/04 00:00:00+00,44.26276,-68.58038,EB
534810.7768,4899662.8496,45,EB020.00,A,30,3.7,0.57,520,20,31,163,2017/07/05 00:00:00+00,44.24937,-68.56398,EB
537181.3335,4897391.0303,46,EB022.00,A,30,2.5,0.36,140,7.4,31,163,2017/07/05 00:00:00+00,44.2288,-68.53445,EB
524632.8831,4904126.3359,47,EC001.00,A,30,2.4,0.33,82,6.5,31,163,2017/07/05 00:00:00+00,44.28997,-68.69125,EC
522453.523,4903099.9429,48,EC004.00,A,30,3.4,0.53,180,17,31,163,2017/07/05 00:00:00+00,44.2808,-68.71861,EC
521920.493,4904051.1573,49,EC005.00,A,30,2.5,0.37,108,7.8,31,163,2017/07/05 00:00:00+00,44.28938,-68.72525,EC
521472.941,4905984.5977,50,EC006.10,A,30,1.9,0.09,6,2.5,31,163,2017/07/05 00:00:00+00,44.3068,-68.73078,EC
525626.1212,4902717.2737,51,EC007.00,A,30,3.1,0.36,35,9.2,31,163,2017/07/05 00:00:00+00,44.27725,-68.67887,EC
529832.412,4898166.5614,52,EC009.00,A,30,3.1,0.54,1200,15.6,31,163,2017/07/05 00:00:00+00,44.23612,-68.62642,EC
528218.0044,4895867.9535,53,EC010.00,A,30,4.1,0.47,160,16.9,31,163,2017/07/05 00:00:00+00,44.21549,-68.64676,EC
534286.5693,4894095.2145,54,EC012.00,A,30,3.3,0.4,92,10.9,31,163,2017/07/05 00:00:00+00,44.19927,-68.57091,EC
533541.4879,4892910.6439,55,EC014.00,A,30,3.5,0.58,1200,19.8,31,163,2017/07/05 00:00:00+00,44.18864,-68.58031,EC
529878.3356,4895446.555,56,EC016.00,CA,30,3.6,0.47,48,14.8,31,163,2013/10/02 00:00:00+00,44.21163,-68.626,EC
527930.5469,4896213.2751,57,EC017.00,CA,30,3.2,0.39,27,10.4,31,163,2014/04/23 00:00:00+00,44.21861,-68.65034,EC
527351.7443,4895942.038,58,EC017.50,A,30,2.9,0.4,158,9.5,31,163,2018/09/20 00:00:00+00,44.21619,-68.6576,EC
526502.1308,4895657.5354,59,EC017.70,A,30,2.2,0.21,18,4.2,31,163,2017/07/31 00:00:00+00,44.21366,-68.66825,EC
526158.5084,4895884.969,60,EC017.80,A,30,3.5,0.51,160,16.5,31,163,2018/11/05 00:00:00+00,44.21572,-68.67254,EC
525444.3355,4895062.4378,61,EC018.00,A,30,3.5,0.35,46,10.2,31,163,2018/11/05 00:00:00+00,44.20834,-68.68152,EC
526907.2265,4893886.4468,62,EC019.00,A,30,3.9,0.57,360,21.7,31,163,2017/08/08 00:00:00+00,44.1977,-68.66327,EC
527184.5366,4892914.5847,63,EC020.00,P,30,2.8,0.52,760,13.6,31,163,2017/07/31 00:00:00+00,44.18894,-68.65985,EC
529750.0335,4892023.783,64,EC021.00,A,30,2.3,0.24,18,4.7,31,163,2017/06/20 00:00:00+00,44.18082,-68.6278,EC
528564.6179,4891294.3244,65,EC022.00,A,30,3,0.36,38,8.9,31,163,2017/07/31 00:00:00+00,44.1743,-68.64267,EC
527887.273,4891541.3305,66,EC022.30,A,30,3.5,0.46,86,13.8,31,163,2017/08/08 00:00:00+00,44.17655,-68.65113,EC
528675.9937,4889585.3924,67,EC023.50,A,30,2.2,0.23,16,4.5,31,163,2017/07/31 00:00:00+00,44.15891,-68.64137,EC
525423.3168,4888721.1976,68,EC026.20,A,30,2.9,0.42,120,10.3,31,163,2017/07/31 00:00:00+00,44.15125,-68.68209,EC
524710.1759,4889092.794,69,EC026.70,A,30,2.9,0.55,680,14.8,31,163,2017/07/31 00:00:00+00,44.15462,-68.69099,EC
524117.6231,4889964.7346,70,EC026.90,A,30,3.3,0.45,120,12.6,31,163,2017/07/31 00:00:00+00,44.16249,-68.69836,EC
524494.535,4890093.8613,71,EC027.00,A,30,3.8,0.55,400,19.8,31,163,2017/07/31 00:00:00+00,44.16364,-68.69364,EC
523999.4367,4891894.7451,72,EC027.80,A,30,3.7,0.51,180,16.9,31,163,2017/08/08 00:00:00+00,44.17987,-68.69975,EC
524166.4827,4892332.9845,73,EC028.00,CA,30,4.9,0.53,68,23.8,31,163,2015/10/26 00:00:00+00,44.18381,-68.69764,EC
522567.2506,4895556.1898,74,EC031.00,A,30,2.3,0.27,40,5.3,31,163,2017/07/31 00:00:00+00,44.21288,-68.71751,EC
525465.5439,4896803.0455,75,EC033.00,P,30,2.7,0.38,74,8.5,31,163,2017/07/31 00:00:00+00,44.22401,-68.68117,EC
528069.8386,4875123.4616,76,ED001.50,A,30,2,0.1,6,2.7,31,163,2017/06/07 00:00:00+00,44.02873,-68.64972,ED
528844.5655,4880118.3294,77,ED003.70,A,30,2,0.07,4,2.5,31,163,2017/06/07 00:00:00+00,44.07367,-68.63978,ED
531840.3963,4880416.4553,78,ED005.10,A,30,2.3,0.24,22,4.8,31,163,2017/06/07 00:00:00+00,44.07623,-68.60235,ED
544758.5543,4890111.7178,79,EE001.00,A,30,4.2,0.58,460,23.8,31,163,2017/07/09 00:00:00+00,44.16284,-68.4402,EE
544889.2813,4890288.1096,80,EE001.20,A,30,3.4,0.45,140,13.2,31,163,2017/07/09 00:00:00+00,44.16442,-68.43855,EE
546219.92,4891288.1339,81,EE002.00,A,30,4,0.47,64,16.7,31,163,2017/06/20 00:00:00+00,44.17334,-68.42182,EE
546126.7389,4892262.7346,82,EE003.00,A,30,2.3,0.17,7.3,3.9,31,163,2017/06/20 00:00:00+00,44.18212,-68.4229,EE
544657.8273,4887752.8883,83,EE006.80,A,30,3.1,0.36,40,9.3,31,163,2017/06/20 00:00:00+00,44.14161,-68.44166,EE
545056.1074,4887877.787,84,EE007.00,R,30,6,0.73,360,53.2,31,163,2017/06/20 00:00:00+00,44.14271,-68.43667,EE
544557.2601,4888901.8424,85,EE008.00,A,30,4.3,0.47,48,17.6,31,163,2017/06/20 00:00:00+00,44.15196,-68.44282,EE
544018.5315,4888978.1897,86,EE009.30,P,30,3.9,0.43,38,14.1,31,163,2017/06/20 00:00:00+00,44.15268,-68.44955,EE
544076.6054,4888068.8674,87,EE009.50,P,30,2.7,0.27,18,6.1,31,163,2017/09/25 00:00:00+00,44.14449,-68.4489,EE
543988.1431,4887422.9257,88,EE009.70,A,30,3.6,0.48,200,15.1,31,163,2017/09/25 00:00:00+00,44.13868,-68.45006,EE
543770.501,4888755.4936,89,EE010.00,A,30,2.6,0.32,35,6.9,31,163,2017/06/20 00:00:00+00,44.15069,-68.45267,EE
543464.3694,4889818.681,90,EE011.00,A,30,4,0.61,240,25.2,31,163,2017/06/20 00:00:00+00,44.16028,-68.45641,EE
543104.6091,4889808.5376,91,EE011.30,A,30,4.2,0.57,92,23,31,163,2017/06/20 00:00:00+00,44.16021,-68.46091,EE
542905.6316,4889911.6475,92,EE011.40,A,30,5,0.59,114,28.8,31,163,2017/08/14 00:00:00+00,44.16115,-68.46339,EE
542033.2095,4889920.4527,93,EE013.00,A,30,3.5,0.55,320,18.1,31,163,2017/06/20 00:00:00+00,44.16128,-68.4743,EE
542402.6352,4891282.3927,94,EE014.50,A,30,3.2,0.46,62,12.6,31,163,2017/08/14 00:00:00+00,44.17352,-68.46957,EE
544148.644,4891633.7824,95,EE016.50,A,30,2.2,0.2,20,4,31,163,2017/06/20 00:00:00+00,44.17658,-68.4477,EE
543876.3741,4890028.0186,96,EE017.30,A,30,2.8,0.33,33,7.6,31,163,2017/07/09 00:00:00+00,44.16214,-68.45124,EE
550842.9112,4885315.1977,97,EE019.00,A,30,2.2,0.24,29,4.6,31,163,2017/06/07 00:00:00+00,44.11926,-68.36457,EE
535430.3638,4901872.1424,98,EF001.80,A,30,4.6,0.48,58,19.4,31,163,2018/08/15 00:00:00+00,44.26923,-68.55607,EF
535369.7809,4902301.6807,99,EF001.90,R,30,6.6,0.55,106,34.3,31,163,2017/03/27 00:00:00+00,44.2731,-68.5568,EF
535520.9713,4902677.9375,100,EF002.00,R,30,9.3,0.78,860,95.5,31,163,2017/09/19 00:00:00+00,44.27648,-68.55488,EF
537627.6128,4901040.2114,101,EF002.50,A,30,2.3,0.21,12,4.3,31,163,2017/06/19 00:00:00+00,44.26163,-68.5286,EF
537610.1611,4902967.2943,102,EF004.00,R,30,3.5,0.6,600,21.2,31,163,2017/05/08 00:00:00+00,44.27898,-68.52868,EF
537511.0201,4903278.8521,103,EF004.10,A,30,2.8,0.42,180,9.8,31,163,2015/09/28 00:00:00+00,44.28179,-68.5299,EF
536297.9207,4904321.6918,104,EF005.00,A,30,2.9,0.45,160,11.2,31,163,2017/06/19 00:00:00+00,44.29124,-68.54503,EF
534764.7993,4906364.9599,105,EF006.00,A,30,3.1,0.53,400,15.4,31,163,2017/06/19 00:00:00+00,44.30971,-68.56411,EF
536143.1333,4911247.6327,106,EF008.00,P,30,3.2,0.45,120,12.3,31,163,2017/05/08 00:00:00+00,44.3536,-68.54649,EF
534516.7954,4911489.8719,107,EF009.30,A,30,2.9,0.4,42,9.7,31,163,2017/06/08 00:00:00+00,44.35586,-68.56688,EF
532824.9348,4909095.2069,108,EF010.00,A,30,3.3,0.36,36,10,31,163,2018/07/09 00:00:00+00,44.33438,-68.58826,EF
533212.3833,4910195.7193,109,EF010.50,A,30,4.2,0.49,130,18.3,31,163,2018/07/09 00:00:00+00,44.34427,-68.58333,EF
533296.6568,4911333.5826,110,EF011.00,A,30,4.5,0.41,40,15.6,31,163,2018/09/04 00:00:00+00,44.35451,-68.5822,EF
533627.8953,4911237.5312,111,EF011.30,A,30,3.8,0.48,84,15.9,31,163,2017/06/19 00:00:00+00,44.35363,-68.57805,EF
534922.0943,4913939.0795,112,EF013.00,A,30,2.1,0.25,40,4.6,31,163,2017/05/08 00:00:00+00,44.37789,-68.56163,EF
534523.5871,4914725.616,113,EF014.00,A,30,3.3,0.47,108,13.5,31,163,2017/05/08 00:00:00+00,44.38499,-68.56658,EF
534488.7555,4915588.5123,114,EF015.00,CA,30,2.9,0.42,134,10.3,31,163,2019/07/01 00:00:00+00,44.39276,-68.56696,EF
534675.9748,4916776.9371,115,EF016.50,CA,30,3.5,0.41,60,12.2,31,163,2019/07/01 00:00:00+00,44.40345,-68.56453,EF
533888.5124,4917372.6223,116,EF017.80,CR,30,2.6,0.32,66,7,31,163,2019/07/01 00:00:00+00,44.40885,-68.57438,EF
534017.9307,4917900.9212,117,EF018.00,CR,30,5.1,0.68,1700,38.8,31,163,2019/07/01 00:00:00+00,44.4136,-68.57272,EF
535574.8516,4916806.2168,118,EF019.00,CA,30,2.9,0.42,220,10.2,31,163,2019/07/01 00:00:00+00,44.40367,-68.55324,EF
537596.9672,4916343.254,119,EF020.00,A,30,2.4,0.31,48,6.2,31,163,2017/09/18 00:00:00+00,44.3994,-68.52788,EF
538205.2876,4917448.6991,120,EF020.50,A,30,2.1,0.17,14,3.5,31,163,2017/08/08 00:00:00+00,44.40932,-68.52016,EF
538077.6702,4918167.7491,121,EF022.00,P,30,4.6,0.54,140,22.7,31,163,2019/03/13 00:00:00+00,44.4158,-68.52171,EF
538474.2211,4918021.2309,122,EF022.91,P,30,3.3,0.45,86,12.9,31,163,2017/08/08 00:00:00+00,44.41446,-68.51674,EF
538609.6372,4918144.2196,123,EF023.00,P,30,4.5,0.52,50,21.4,31,163,2017/08/08 00:00:00+00,44.41556,-68.51503,EF
540113.6741,4920067.218,124,EF024.00,A,30,3.1,0.36,26,9.2,31,163,2017/08/08 00:00:00+00,44.43279,-68.49599,EF
541347.4283,4922436.5155,125,EF025.00,A,30,2.9,0.28,16,6.8,31,163,2017/08/08 00:00:00+00,44.45405,-68.4803,EF
541815.1441,4917495.2924,126,EF026.00,A,30,2.6,0.31,40,6.8,31,163,2017/08/08 00:00:00+00,44.40954,-68.47482,EF
542860.4952,4916664.5337,127,EG002.00,CA,30,3,0.34,22,8.4,31,163,2019/07/01 00:00:00+00,44.402,-68.46176,EG
542146.8878,4920985.3675,128,EG004.00,CA,30,3.1,0.27,16,7.1,31,163,2019/07/01 00:00:00+00,44.44094,-68.47037,EG
542611.7353,4923402.1933,129,EG005.00,CA,30,4.7,0.47,74,19.1,31,163,2019/07/01 00:00:00+00,44.46267,-68.46433,EG
541545.3238,4926331.1867,130,EG007.00,CA,30,4.1,0.4,31,13.8,31,163,2019/07/01 00:00:00+00,44.4891,-68.4775,EG
540378.37,4926404.9234,131,EG007.50,P,30,6,0.5,114,27.1,31,163,2017/08/08 00:00:00+00,44.48983,-68.49217,EG
540905.7975,4926871.4323,132,EG008.50,P,30,3.6,0.54,280,18.3,31,163,2017/06/21 00:00:00+00,44.494,-68.4855,EG
542352.3802,4926824.0454,133,EG009.00,P,30,3.8,0.38,22,11.9,31,163,2017/06/21 00:00:00+00,44.49349,-68.46731,EG
543794.5164,4925788.3161,134,EG011.00,P,30,2.8,0.38,96,8.7,31,163,2017/06/14 00:00:00+00,44.48408,-68.44926,EG
545521.3692,4923344.1409,135,EG014.00,CA,30,3.2,0.36,25,9.4,31,163,2019/07/01 00:00:00+00,44.46197,-68.42776,EG
545666.5491,4920565.8826,136,EG016.00,P,30,2.8,0.32,25,7.5,31,163,2017/06/21 00:00:00+00,44.43695,-68.42618,EG
545547.1704,4920451.7431,137,EG016.50,CA,30,3,0.37,24,9.3,31,163,2019/07/01 00:00:00+00,44.43593,-68.42769,EG
545091.5114,4918095.8654,138,EG017.00,CA,30,3.2,0.41,70,10.9,31,163,2019/07/01 00:00:00+00,44.41475,-68.43362,EG
547746.2054,4917845.9539,139,EG019.00,A,30,3.2,0.47,260,13.3,31,163,2017/08/08 00:00:00+00,44.41233,-68.4003,EG
548448.4457,4920524.8881,140,EG020.00,CA,30,3.9,0.53,200,19,31,163,2017/01/04 00:00:00+00,44.4364,-68.39123,EG
548770.8503,4920302.9075,141,EG020.50,A,30,3.5,0.53,260,17.4,31,163,2017/06/21 00:00:00+00,44.43438,-68.3872,EG
549561.2683,4919770.1225,142,EG021.00,A,30,2.8,0.46,440,11.3,31,163,2017/08/08 00:00:00+00,44.42953,-68.37732,EG
550450.4199,4918942.7153,143,EG023.00,A,30,2.2,0.24,38,4.5,31,163,2017/08/07 00:00:00+00,44.42202,-68.36623,EG
551774.6649,4916893.6237,144,EG024.00,A,30,4,0.42,35,14.2,31,163,2017/08/21 00:00:00+00,44.40348,-68.3498,EG
550897.2596,4915138.2779,145,EG025.00,CA,30,3.2,0.46,132,12.5,31,163,2014/06/18 00:00:00+00,44.38774,-68.36099,EG
549865.3661,4915602.4075,146,EG026.00,A,30,1.9,0.05,3.6,2.2,31,163,2017/08/07 00:00:00+00,44.39199,-68.3739,EG
548389.8682,4912325.5009,147,EG027.00,A,30,2.3,0.2,10,4.4,31,163,2017/08/07 00:00:00+00,44.36259,-68.39273,EG
547262.4052,4910655.4756,148,EG028.00,A,30,2.6,0.26,14,5.7,31,163,2017/08/21 00:00:00+00,44.34763,-68.40703,EG
546512.2503,4910109.1305,149,EG029.00,A,30,2.4,0.46,560,9.6,31,163,2017/08/07 00:00:00+00,44.34276,-68.41649,EG
547197.1615,4909756.3631,150,EG030.80,A,30,2.4,0.25,26,5,31,163,2015/05/06 00:00:00+00,44.33954,-68.40793,EG
547733.6595,4909976.8669,151,EG031.00,CA,30,3.7,0.49,92,16.4,31,163,2013/05/21 00:00:00+00,44.34149,-68.40118,EG
546048.1799,4906957.8402,152,EG032.00,A,30,2.3,0.27,29,5.2,31,163,2017/08/07 00:00:00+00,44.31442,-68.42259,EG
547216.4697,4903433.8398,153,EG033.00,A,30,3.1,0.44,88,11.6,31,163,2017/08/07 00:00:00+00,44.28262,-68.40826,EG
548120.973,4900880.048,154,EG033.90,A,30,3.5,0.45,120,13.6,31,163,2018/09/04 00:00:00+00,44.25957,-68.39716,EG
549559.5745,4900445.3419,155,EG035.00,A,30,4.1,0.52,58,19.3,31,163,2017/11/01 00:00:00+00,44.25556,-68.37918,EG
549810.6243,4899450.8638,156,EG036.00,P,30,2.5,0.39,90,8.3,31,163,2017/06/14 00:00:00+00,44.24659,-68.37613,EG
555952.2029,4901724.2474,157,EH003.00,A,30,2.5,0.27,25.5,5.6,31,163,2017/08/07 00:00:00+00,44.26661,-68.29897,EH
555482.1387,4903034.3415,158,EH012.20,A,30,2,0.11,6,2.9,31,163,2017/06/07 00:00:00+00,44.27844,-68.30472,EH
555817.5822,4903564.8296,159,EH012.40,P,30,1.9,0.09,6,2.5,31,163,2017/06/07 00:00:00+00,44.28319,-68.30046,EH
554656.205,4904750.2675,160,EH023.70,A,30,3,0.39,66,9.7,31,163,2017/11/29 00:00:00+00,44.29395,-68.31489,EH
554490.3565,4905313.1787,161,EH024.00,A,30,2.4,0.31,76,6.1,31,163,2018/10/11 00:00:00+00,44.29903,-68.31691,EH
554184.8373,4909833.895,162,EH027.00,P,30,2.5,0.35,84,7.3,31,163,2017/06/14 00:00:00+00,44.33975,-68.32027,EH
553461.6249,4911799.6477,163,EH030.00,CA,30,2.6,0.26,16,5.8,31,163,2017/12/04 00:00:00+00,44.3575,-68.32914,EH
552890.7766,4911531.7347,164,EH031.00,CR,30,5.6,0.61,760,34.8,31,163,2017/11/06 00:00:00+00,44.35513,-68.33633,EH
553479.9685,4913062.8062,165,EH035.00,CA,30,4.5,0.5,84,20.4,31,163,2017/12/04 00:00:00+00,44.36887,-68.32878,EH
554954.9245,4912488.538,166,EH039.00,CA,30,3,0.37,60,9.4,31,163,2017/11/06 00:00:00+00,44.36359,-68.31033,EH
555583.1431,4910208.8797,167,EH040.00,CA,30,3.3,0.44,100,12.3,31,163,2017/11/06 00:00:00+00,44.34302,-68.30269,EH
555690.879,4905700.964,168,EH044.50,A,30,4.6,0.46,36,18.1,31,163,2016/04/04 00:00:00+00,44.30243,-68.30182,EH
555460.5891,4905389.0895,169,EH045.00,CA,30,2.6,0.32,40,6.7,31,163,2015/03/25 00:00:00+00,44.29964,-68.30474,EH
556378.3694,4904328.3234,170,EH047.00,P,30,2.9,0.38,42,9,31,163,2017/06/28 00:00:00+00,44.29002,-68.29335,EH
556513.3805,4904123.986,171,EH047.20,P,30,2.8,0.38,52,8.9,31,163,2017/06/28 00:00:00+00,44.28817,-68.29168,EH
557327.0247,4904332.1193,172,EH050.00,CA,30,2.4,0.26,16,5.3,31,163,2017/01/04 00:00:00+00,44.28998,-68.28146,EH
557120.6377,4904850.1798,173,EH052.00,P,30,3.2,0.39,36,10.5,31,163,2017/06/28 00:00:00+00,44.29466,-68.28399,EH
557170.4763,4905629.302,174,EH055.00,CA,30,3.8,0.53,200,18.5,31,163,2017/01/04 00:00:00+00,44.30167,-68.28328,EH
560841.1724,4904566.01,175,EH065.00,P,30,2.7,0.37,76,8.3,31,163,2017/06/28 00:00:00+00,44.2918,-68.23739,EH
563961.6098,4907265.1224,176,EH068.00,A,30,2.7,0.4,108,9.1,31,163,2017/06/28 00:00:00+00,44.31583,-68.19795,EH
560580.409,4901013.3804,177,EH072.00,P,30,2,0.09,4,2.7,31,163,2017/06/07 00:00:00+00,44.25984,-68.24107,EH
558001.1874,4900372.4285,178,EH073.00,A,30,1.9,0.05,3.6,2.2,31,163,2017/06/07 00:00:00+00,44.25428,-68.27345,EH
559077.999,4900039.9138,179,EH075.00,A,30,1.9,0,2,1.9,31,163,2017/06/07 00:00:00+00,44.2512,-68.26,EH
558307.3326,4900869.4592,180,EH077.00,P,30,1.9,0.05,4,2.3,31,163,2017/06/07 00:00:00+00,44.25873,-68.26956,EH
565530.727,4910255.5311,181,EI001.00,A,30,4.1,0.54,220,20.6,31,163,2017/06/28 00:00:00+00,44.34261,-68.1779,EI
563415.8276,4915664.5312,182,EI008.00,P,30,3.3,0.44,108,12.5,31,163,2017/06/28 00:00:00+00,44.39149,-68.20377,EI
562915.1985,4915789.6538,183,EI009.00,CR,30,2.2,0.18,10,3.8,31,163,2012/04/03 00:00:00+00,44.39266,-68.21004,EI
560095.2445,4918675.721,184,EI023.70,P,30,2.2,0.2,20,4,31,163,2017/06/28 00:00:00+00,44.41888,-68.24511,EI
560156.5779,4919707.1626,185,EI024.00,A,30,2.1,0.16,11,3.4,31,163,2017/06/13 00:00:00+00,44.42816,-68.24422,EI
557966.918,4920938.1306,186,EI029.00,A,30,2.5,0.28,24,5.8,31,163,2017/06/28 00:00:00+00,44.43942,-68.27159,EI
556950.8403,4920091.5843,187,EI031.00,P,30,2.8,0.36,52,8.4,31,163,2017/06/28 00:00:00+00,44.43188,-68.28445,EI
556251.5283,4920144.3825,188,EI033.00,A,30,2.2,0.23,24,4.4,31,163,2017/06/13 00:00:00+00,44.43241,-68.29323,EI
554180.0107,4921633.1242,189,EI034.00,A,30,2.4,0.26,20,5.3,31,163,2017/06/28 00:00:00+00,44.44597,-68.3191,EI
553140.8832,4919567.2861,190,EI034.20,A,30,3.8,0.51,240,17.7,31,163,2017/06/28 00:00:00+00,44.42745,-68.33237,EI
552702.3291,4918970.5375,191,EI034.30,A,30,3.6,0.48,180,15.1,31,163,2018/07/09 00:00:00+00,44.42211,-68.33794,EI
552448.3488,4918974.0424,192,EI034.70,A,30,4,0.42,74,14,31,163,2018/07/09 00:00:00+00,44.42216,-68.34113,EI
