X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area
514418.325,4914209.2385,1,EA001.00,A,30,30,2.1,0.13,8,3.1,31,163,2010/04/05 00:00:00+00,44.38102,-68.819,EA
516928.5648,4916295.7247,2,EA003.50,P,30,30,2.2,0.22,18,4.4,31,163,2010/05/03 00:00:00+00,44.39975,-68.78742,EA
515741.6422,4916119.4726,3,EA004.00,P,30,30,2.3,0.26,28,5.1,31,163,2010/04/05 00:00:00+00,44.39819,-68.80233,EA
518018.146,4916806.2638,4,EA005.00,A,30,30,2,0.12,7.3,3,31,163,2010/04/05 00:00:00+00,44.40432,-68.77372,EA
518997.314,4919353.8145,5,EA006.00,CA,30,30,2.1,0.18,10,3.6,31,163,2012/12/03 00:00:00+00,44.42723,-68.76133,EA
520438.7005,4920153.4906,6,EA007.00,A,30,30,2.3,0.45,580,9,31,163,2010/04/05 00:00:00+00,44.43439,-68.74319,EA
521790.3737,4922687.1132,7,EA009.00,A,30,30,2.6,0.42,220,9.3,31,163,2010/04/05 00:00:00+00,44.45716,-68.7261,EA
520818.9115,4923704.7396,8,EA011.00,A,30,30,4.8,0.56,96,25.3,31,163,2010/04/28 00:00:00+00,44.46635,-68.73827,EA
521822.0199,4923925.7401,9,EA012.00,A,30,30,4.9,0.65,1700,33.8,31,163,2010/04/28 00:00:00+00,44.46831,-68.72565,EA
522288.559,4923569.6498,10,EA013.00,A,30,30,3.6,0.52,280,17.1,31,163,2010/05/03 00:00:00+00,44.46509,-68.7198,EA
523146.9769,4923313.8346,11,EA014.00,P,30,30,4.5,0.64,840,30.4,31,163,2010/05/03 00:00:00+00,44.46276,-68.70902,EA
523179.7605,4922373.1191,12,EA014.90,P,30,30,4.3,0.53,300,21,31,163,2010/05/03 00:00:00+00,44.45429,-68.70865,EA
523398.9255,4922269.4899,13,EA015.00,P,30,30,4.8,0.45,50,18.2,31,163,2010/05/03 00:00:00+00,44.45335,-68.7059,EA
522832.8039,4921939.7992,14,EA015.50,A,30,30,3.2,0.43,48,11.6,31,163,2010/04/05 00:00:00+00,44.4504,-68.71303,EA
521816.9731,4920684.4692,15,EA017.00,A,30,30,2.1,0.17,12,3.6,31,163,2010/04/05 00:00:00+00,44.43913,-68.72585,EA
523525.0949,4916189.5572,16,EA019.00,A,30,30,2.6,0.35,76,7.5,31,163,2010/06/01 00:00:00+00,44.39861,-68.70459,EA
523555.7234,4915867.5443,17,EA019.10,A,30,30,2.3,0.21,12,4.4,31,163,2011/05/11 00:00:00+00,44.39571,-68.70422,EA
525130.5144,4915790.1141,18,EA019.20,R,30,30,2.6,0.32,22,7.1,31,163,2011/05/11 00:00:00+00,44.39496,-68.68445,EA
525194.4284,4915738.1544,19,EA019.22,R,27,27,2.7,0.32,31,7,31,163,2011/04/25 00:00:00+00,44.39449,-68.68365,EA
525223.301,4915686.0597,20,EA019.23,R,27,27,4,0.41,50,13.7,31,163,2011/04/25 00:00:00+00,44.39402,-68.68329,EA
525101.589,4915442.3312,21,EA019.27,R,27,27,2.5,0.31,48,6.3,31,163,2011/04/25 00:00:00+00,44.39183,-68.68483,EA
525836.0739,4914599.9019,22,EA019.38,R,27,27,2.3,0.28,48,5.3,31,163,2011/04/25 00:00:00+00,44.38422,-68.67565,EA
526097.3777,4914592.0556,23,EA019.39,R,27,27,2.9,0.33,35,7.9,31,163,2011/04/25 00:00:00+00,44.38414,-68.67237,EA
525978.3102,4914287.2293,24,EA019.42,R,28,28,2.8,0.34,56,7.9,31,163,2011/04/25 00:00:00+00,44.3814,-68.67388,EA
520565.5778,4917525.8039,25,EA021.00,A,30,30,2.2,0.29,52,5.4,31,163,2010/04/05 00:00:00+00,44.41073,-68.7417,EA
518900.3422,4916561.0605,26,EA023.00,CA,30,30,2.5,0.3,26,6.4,31,163,2013/10/07 00:00:00+00,44.40209,-68.76265,EA
517527.2196,4915183.2107,27,EA024.00,CA,30,30,2.1,0.15,8,3.3,31,163,2013/10/07 00:00:00+00,44.38972,-68.77994,EA
518611.7075,4913898.8412,28,EA025.00,A,30,30,2.3,0.26,24,5.1,31,163,2010/04/05 00:00:00+00,44.37813,-68.76637,EA
518936.3188,4913218.8787,29,EA026.00,A,30,30,2.5,0.3,46,6.1,31,163,2010/04/05 00:00:00+00,44.372,-68.76232,EA
519110.8932,4912370.7671,30,EA027.00,A,30,30,2.3,0.22,16,4.5,31,163,2010/04/05 00:00:00+00,44.36436,-68.76016,EA
518645.1175,4911684.0829,31,EA028.00,A,30,30,2.2,0.26,40,4.8,31,163,2010/04/05 00:00:00+00,44.35819,-68.76603,EA
517126.5729,4913065.0379,32,EA029.00,CA,30,30,2.3,0.17,6,3.9,31,163,2013/09/16 00:00:00+00,44.37066,-68.78504,EA
516909.1367,4913036.7021,33,EA031.00,CA,30,30,2.4,0.35,46,7,31,163,2013/07/08 00:00:00+00,44.37041,-68.78777,EA
515757.8278,4906432.6276,34,EB001.00,A,30,30,2.6,0.43,320,9.3,31,163,2010/04/06 00:00:00+00,44.31098,-68.80242,EB
516832.6222,4907478.2966,35,EB002.00,A,30,30,2.3,0.28,50,5.3,31,163,2010/04/06 00:00:00+00,44.32037,-68.78891,EB
518159.3318,4908123.8596,36,EB003.00,A,30,30,2.3,0.26,20,5.2,31,163,2012/05/07 00:00:00+00,44.32615,-68.77225,EB
519963.6206,4910766.0514,37,EB004.00,CA,30,30,2.6,0.29,37,6.3,31,163,2012/04/02 00:00:00+00,44.34989,-68.74952,EB
520340.1403,4908868.9315,38,EB004.50,A,30,30,2.6,0.35,52,7.5,31,163,2010/04/06 00:00:00+00,44.3328,-68.74487,EB
522376.3931,4907452.7079,39,EB009.00,P,30,30,2.2,0.32,94,5.9,31,163,2010/04/06 00:00:00+00,44.31999,-68.71939,EB
523272.6682,4906790.4943,40,EB010.00,A,30,30,2.5,0.42,280,8.9,31,163,2010/04/06 00:00:00+00,44.314,-68.70818,EB
525628.3769,4905401.97,41,EB012.00,A,30,30,3.4,0.57,340,18.6,31,163,2010/04/06 00:00:00+00,44.30142,-68.67871,EB
525976.3298,4904959.0402,42,EB013.00,A,30,30,3,0.51,152,13.9,31,163,2010/04/06 00:00:00+00,44.29742,-68.67437,EB
529432.2259,4903698.5196,43,EB014.50,A,30,30,2.4,0.36,80,7.2,31,163,2010/04/27 00:00:00+00,44.28594,-68.63112,EB
529568.7393,4904742.1365,44,EB015.00,CA,30,30,2,0.15,13,3.3,31,163,2010/02/01 00:00:00+00,44.29533,-68.62935,EB
530809.0517,4905636.4668,45,EB015.80,CA,30,30,3.1,0.57,1080,17.1,31,163,2009/11/23 00:00:00+00,44.30333,-68.61375,EB
530999.2786,4905724.0048,46,EB016.00,R,30,30,3.4,0.44,180,12.7,31,163,2011/07/05 00:00:00+00,44.30411,-68.61136,EB
530369.844,4904711.3711,47,EB016.50,CA,30,30,2.8,0.39,68,8.9,31,163,2010/01/04 00:00:00+00,44.29502,-68.61931,EB
532901.9856,4901218.0478,48,EB018.50,A,30,30,2.6,0.29,34,6.3,31,163,2010/04/06 00:00:00+00,44.26346,-68.58779,EB
533493.8384,4901143.2934,49,EB019.00,CA,30,30,3.7,0.68,1700,28.6,31,163,2010/01/04 00:00:00+00,44.26276,-68.58038,EB
534810.7768,4899662.8496,50,EB020.00,A,30,30,2.1,0.17,14,3.5,31,163,2010/04/06 00:00:00+00,44.24937,-68.56398,EB
