OBJECTID,Station,Class,Count_,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area,GlobalID,x,y
386,ER019.00,R,11,16.2,0.49,220.0,71.9,31,163,10/17/2022 0:00,44.71561078,-67.4042605,ER,596f3885-d908-413e-8ced-7351214e292d,626389.4679,4952597.652
387,ER043.00,A,30,4.3,0.57,260.0,23.5,31,163,3/3/2021 0:00,44.69073079,-67.38660051,ER,c2a7ec0a-1638-4acb-a6e8-f511fb822500,627842.9784,4949861.499
388,ER045.00,A,30,4.5,0.56,280.0,23.9,31,163,3/3/2021 0:00,44.69083079,-67.37508051,ER,602e5e88-6f5c-4375-baed-cd06af661858,628755.5843,4949890.754
389,ER046.00,A,30,2.7,0.31,46.0,7.0,31,163,6/18/2019 0:00,44.70347078,-67.35859051,ER,5ded20a7-8885-4136-9a85-6590cb153d1c,630033.9254,4951321.03
390,ER047.00,R,30,5.8,0.72,1700.0,49.6,31,163,6/18/2019 0:00,44.70599078,-67.31900053,ER,d48e1e00-7eec-44b8-a28d-6424d8be9668,633164.5111,4951664.942
391,ER047.50,R,30,6.2,0.71,1700.0,50.9,31,163,6/18/2019 0:00,44.70823078,-67.30993053,ER,4a33519a-417f-4bfd-b765-70881c8f3705,633877.8508,4951928.639
392,ER050.00,A,30,4.5,0.57,460.0,24.8,31,163,6/18/2019 0:00,44.70172078,-67.29968053,ER,d1ed439f-d0a9-4319-9dae-b52ac5e268f7,634704.9017,4951222.4
393,ES004.00,A,30,3.4,0.46,114.0,13.5,31,163,5/14/2019 0:00,44.66706079,-67.26366055,ES,ba9cad23-66cf-40bf-bee3-4018e3c287dc,637640.606,4947432.523
394,ES005.10,R,30,4.7,0.64,700.0,31.8,31,163,9/25/2019 0:00,44.66461079,-67.24118056,ES,5fbe4797-c2c2-4533-92e0-2047ff1c222b,639428.4896,4947198.595
395,ES008.00,R,30,6.7,0.68,1100.0,50.2,31,163,7/29/2019 0:00,44.65897079,-67.22870056,ES,b7ed87b5-a03a-420c-8b68-b4c79ed07ac4,640431.4504,4946593.527
396,ES009.00,A,30,3.8,0.58,500.0,21.7,31,163,6/18/2019 0:00,44.65526079,-67.21344057,ES,c6d96a30-8aa3-400f-bea9-bea2700d6957,641650.3272,4946207.826
397,ES015.00,A,30,3.5,0.48,360.0,14.8,31,163,6/18/2019 0:00,44.73737077,-67.1153006,ES,e7619eed-1d53-47cb-8f61-27648881bce2,649220.4545,4955504.05
398,ES016.80,A,30,4.1,0.67,700.0,30.4,31,163,6/18/2019 0:00,44.75422077,-67.06991061,ES,fa540695-400a-4ceb-be7c-41c52ebba4af,652769.8023,4957460.037
399,ES017.10,A,30,3.4,0.36,35.0,9.9,31,163,4/8/2019 0:00,44.77230076,-67.05789061,ES,8485ae9a-ee3e-4e4f-8fd1-57c6c25142fb,653673.2522,4959491.067
400,ES021.50,A,30,4.5,0.52,88.0,21.2,31,163,8/26/2019 0:00,44.81252075,-66.97721064,ES,d7040e8d-3d2d-4085-80f6-d7032cf0d634,659946.0639,4964114.491
401,ES022.00,R,30,7.0,0.62,260.0,45.0,31,163,5/14/2019 0:00,44.81449075,-66.98850063,ES,9f7b7a2b-1c2e-43eb-a2e9-d345cb8ccd9d,659047.921,4964311.167
402,ES023.00,A,30,3.3,0.41,60.0,11.2,31,163,5/14/2019 0:00,44.82447075,-66.98901063,ES,4a188790-b77c-4d5f-a251-f8b92d7e549d,658980.157,4965418.79
403,ES026.00,A,30,3.8,0.53,240.0,18.7,31,163,12/13/2016 0:00,44.84329075,-66.99685063,ES,f805d420-6edc-4e5c-b5b9-873a2d287669,658308.8045,4967494.09
404,ES027.00,A,30,3.0,0.35,36.0,8.6,31,163,8/26/2019 0:00,44.85474075,-66.98174063,ES,5f9229f0-f39b-4e8b-b2b1-c1d7893171e1,659471.3396,4968795.574
405,ET008.00,A,30,4.7,0.55,118.0,24.4,31,163,6/3/2019 0:00,44.84642075,-67.01888062,ET,d1f4ee40-1525-43bd-8e23-1f43f4d5f9b5,656559.2891,4967799.081
406,ET008.30,A,30,4.7,0.51,62.0,21.7,31,163,6/3/2019 0:00,44.84836075,-67.01689062,ET,ad68f8d0-4546-4160-abee-593f666bd7c3,656711.2882,4968018.423
407,ET009.00,A,30,3.1,0.46,112.0,12.3,31,163,5/14/2019 0:00,44.85797075,-67.01527062,ET,56fe85c5-38d2-42e4-9378-f7e9209f04a1,656813.2142,4969089.076
408,ET011.00,R,30,5.2,0.68,1700.0,40.3,31,163,4/8/2020 0:00,44.86429075,-67.01344062,ET,ebf6bfb1-140c-4e78-b75a-3d79d12335b0,656940.6253,4969794.669
409,ET011.10,R,30,5.0,0.64,320.0,33.0,31,163,6/26/2019 0:00,44.86453075,-67.01363062,ET,da2ea452-9e0a-44e1-99fb-ebf5c0e5f3fd,656924.9628,4969820.962
410,ET012.00,A,30,3.3,0.41,94.0,11.5,31,163,4/24/2019 0:00,44.87165074,-67.01867062,ET,d6ffe66e-f25d-4807-81d8-91c4c7f9da89,656507.4943,4970602.159
411,ET013.00,A,30,3.7,0.49,128.0,16.0,31,163,5/14/2019 0:00,44.87775074,-67.01889062,ET,baf99c8d-01d7-419f-99cb-438f875607d1,656473.5784,4971279.355
412,ET020.00,A,30,4.2,0.59,300.0,24.6,31,163,6/3/2019 0:00,44.85717075,-67.02172062,ET,6fb65285-db7a-45f3-994c-a701c2f03c25,656305.7646,4968987.772
413,ET023.00,A,30,2.8,0.41,130.0,9.7,31,163,6/3/2019 0:00,44.83006075,-67.05932061,ET,3914a0ea-880f-40c5-b4d6-1e5c1b3643c8,653406.9038,4965904.575
414,ET025.00,A,30,3.4,0.52,140.0,16.0,31,163,5/16/2019 0:00,44.85539075,-67.0799806,ET,7f61d080-37ba-4a81-b358-be101e027427,651707.2516,4968679.544
415,ET026.00,A,30,2.2,0.2,10.0,4.1,31,163,6/26/2019 0:00,44.88461074,-67.0921506,ET,926fb2b7-5df7-4273-9f0c-bcc8892f9f00,650669.3757,4971902.787
416,ET029.00,A,30,2.6,0.36,44.0,7.9,31,163,6/3/2019 0:00,44.87196075,-67.09892059,ET,a3214f83-082d-4c7b-b583-53df06502432,650167.6361,4970485.013
417,ET032.00,A,30,3.8,0.59,480.0,22.3,31,163,5/16/2019 0:00,44.85706075,-67.0902206,ET,c930bde9-23e0-4e0f-8be9-03353e5d716f,650893.7897,4968845.976
418,ET033.50,A,30,3.1,0.58,1420.0,17.6,31,163,5/14/2019 0:00,44.84253075,-67.12247059,ET,cb8495f3-6741-41ef-855e-a624c2a30aea,648382.9914,4967172.492
419,ET036.00,A,30,2.0,0.1,6.0,2.7,31,163,5/14/2019 0:00,44.87214075,-67.13927058,ET,84b28fb3-4d2c-4df7-a978-e9abc72204c9,646979.8966,4970431.161
420,ET039.00,A,30,3.3,0.38,36.0,10.4,31,163,8/26/2019 0:00,44.81948076,-67.12820059,ET,3e0cb98b-e87a-402e-8e76-0c325b511f99,647989.138,4964601.543
421,ET044.00,A,30,4.2,0.46,240.0,16.7,31,163,5/14/2019 0:00,44.79993076,-67.17034057,ET,569a5add-e200-47cf-8bb1-11435230aa6d,644706.328,4962353.966
422,ET045.00,A,30,3.4,0.44,86.0,12.8,31,163,5/14/2019 0:00,44.80702076,-67.16413057,ET,8b5df9d1-2556-4990-b8fc-c7126cc71981,645179.6841,4963152.625
423,ET047.00,A,30,3.8,0.52,200.0,18.0,31,163,6/17/2019 0:00,44.82286076,-67.15476058,ET,490e9845-3895-4428-bf03-91e8010dbad6,645880.7066,4964928.979
424,ET054.00,A,30,2.3,0.24,25.0,4.7,31,163,5/14/2019 0:00,44.85729075,-67.14775058,ET,35b70d7a-050f-41d8-93fb-a64aad66a0a1,646347.6891,4968766.231
425,ET057.00,A,30,3.5,0.51,380.0,16.2,31,163,6/3/2019 0:00,44.88828075,-67.19644056,ET,6bdaca02-72ca-400e-aa58-216ce42c0f50,642424.1669,4972122.162
426,ET057.20,A,30,4.7,0.56,120.0,25.4,31,163,5/2/2018 0:00,44.88599075,-67.20063056,ET,c82eb254-0f4e-4e12-af96-6a1a739e8822,642098.9287,4971860.432
427,ET059.00,A,30,4.5,0.43,42.0,16.3,31,163,6/3/2019 0:00,44.90686074,-67.20506056,ET,74aefef7-c018-46ee-801e-e208ebeb4985,641697.8045,4974171.041
428,ET060.00,R,30,11.0,0.57,520.0,60.7,31,163,6/3/2019 0:00,44.90565074,-67.21306055,ET,31518d18-8273-490b-bbe8-1615afedcef1,641069.2205,4974022.687
429,ET063.00,R,30,8.5,0.69,1000.0,65.7,31,163,6/3/2019 0:00,44.91293074,-67.21606055,ET,8b746ad3-e901-4be9-a6f1-863e95999696,640814.6043,4974826.18
430,ET066.50,A,30,4.4,0.53,128.0,21.1,31,163,6/3/2019 0:00,44.92648074,-67.21612055,ET,48f5aa14-2a5f-4e27-91c2-afc2ae104164,640776.766,4976331.29
431,ET068.00,A,30,3.9,0.41,31.0,13.1,31,163,5/14/2019 0:00,44.91844074,-67.18368056,ET,6e84e4e2-45fd-4c79-8db9-f930059c7e28,643356.8059,4975494.977
432,ET070.00,A,30,3.2,0.41,64.0,10.7,31,163,5/14/2019 0:00,44.90001074,-67.14971058,ET,c0e3a7df-7fc3-415a-95ed-d817831cd4ce,646084.6546,4973508.263
433,ET071.00,A,30,2.0,0.11,6.0,2.9,31,163,5/14/2019 0:00,44.88785074,-67.13744058,ET,b5831d24-6316-491d-b536-1b30531b104e,647084.4045,4972179.626
434,ET074.00,A,30,2.1,0.14,6.0,3.3,31,163,5/14/2019 0:00,44.89753074,-67.11282059,ET,17d40cf9-7b0c-4d2c-8bf6-cc9c7787b7a0,649003.6173,4973299.848
435,ET077.00,A,30,3.0,0.42,80.0,10.7,31,163,5/14/2019 0:00,44.92383074,-67.15067057,ET,9673c129-2982-44d6-af7c-9a8a4d3afe4b,645948.5406,4976152.6
436,ET079.00,A,30,3.9,0.39,31.0,12.8,31,163,5/14/2019 0:00,44.93639074,-67.16526057,ET,b349c168-18fc-43a9-8330-d50a85f952d4,644765.5359,4977521.692
437,ET085.00,A,30,4.1,0.48,160.0,17.2,31,163,6/12/2019 0:00,44.93980074,-67.16016057,ET,152cabf8-9de4-4a5a-9664-ea4553726477,645159.3442,4977909.613
438,ET088.90,A,30,2.3,0.17,10.0,3.9,31,163,5/8/2019 0:00,44.92689074,-67.13471058,ET,5a92a288-78d1-4c52-82b0-49fbb7ea80e4,647200.2828,4976521.366
439,ET091.00,A,30,4.2,0.49,112.0,18.4,31,163,7/17/2019 0:00,44.95623073,-67.13729058,ET,1356865b-a3aa-4a2d-950b-74276f74cd30,646921.8054,4979775.96
440,ET091.70,A,30,2.2,0.29,78.0,5.3,31,163,6/12/2019 0:00,44.93997074,-67.12738058,ET,211464b9-9082-445e-a01e-b1d3e42b24d3,647745.1813,4977987.704
441,ET095.00,A,30,2.7,0.31,28.0,6.8,31,163,7/17/2019 0:00,44.91694074,-67.0771306,ET,d333e603-1f5e-49b1-9142-19e00416c2e5,651770.4473,4975522.18
442,ET097.00,A,30,2.6,0.21,10.0,4.9,31,163,6/12/2019 0:00,44.93741073,-67.04986061,ET,984deb35-4f53-4519-93c4-f92371ea9acc,653868.169,4977847.499
443,ET099.00,A,30,2.6,0.3,26.0,6.6,31,163,6/12/2019 0:00,44.95104073,-67.04049061,ET,49eb3940-2c3b-436d-9302-fa8f93741f8b,654570.8789,4979379.43
444,ET100.00,A,30,2.6,0.23,12.0,5.2,31,163,6/12/2019 0:00,44.93885073,-67.03447061,ET,194a7270-c6fe-49b3-8c06-d25a5941023c,655078.5807,4978036.782
445,ET100.15,A,30,3.5,0.45,98.0,13.3,31,163,6/12/2019 0:00,44.93113073,-67.03082061,ET,7eb7cdba-24e4-424f-8e59-b1bfde2efcb2,655387.3888,4977186.184
446,ET100.20,A,30,2.8,0.44,240.0,10.5,31,163,7/17/2019 0:00,44.92853073,-67.03497061,ET,6cfe6faa-a985-46d3-8ccc-88c94d51fe2c,655066.9115,4976889.416
447,ET103.10,A,30,2.3,0.22,12.0,4.5,31,163,6/12/2019 0:00,44.92330073,-67.01524062,ET,f5308c4e-b0db-4a4b-91d3-a824211db193,656638.0905,4976346.351
448,ET104.00,A,30,2.3,0.34,126.0,6.6,31,163,6/12/2019 0:00,44.90869074,-67.01976062,ET,7050bc39-ded8-4c37-a98e-a370307372cc,656320.9906,4974714.666
449,EU001.00,A,30,2.6,0.42,360.0,9.5,31,163,6/12/2019 0:00,44.90506074,-67.01190062,EU,c114d83b-aee7-4356-b900-4769a0914602,656951.3452,4974326.6
450,EU001.50,A,30,2.7,0.28,20.0,6.3,31,163,6/12/2019 0:00,44.90146074,-67.00176063,EU,5a2b186e-8926-450b-847e-abce91e30a1b,657761.7025,4973946.358
451,EU008.00,A,30,2.4,0.31,36.0,6.0,31,163,6/12/2019 0:00,44.91950074,-67.00211062,EU,38dd9b43-6369-4faf-9dbd-75a030c84d83,657684.7154,4975949.666
452,EU009.00,A,30,2.6,0.29,35.0,6.4,31,163,6/12/2019 0:00,44.92637073,-67.01534062,EU,58d5f190-ff26-4ff7-93e5-423a06849256,656621.853,4976687.192
453,EU016.00,A,30,3.0,0.42,130.0,10.6,31,163,6/12/2019 0:00,44.97114073,-67.0570406,EU,494cecff-7642-4d4a-9aee-fec74e1d0074,653211.8485,4981580.85
454,EU020.00,R,30,5.0,0.7,980.0,40.5,31,163,7/1/2019 0:00,45.03348072,-67.10097058,EU,5293decb-5aaf-4f14-a6ec-346d6f419e90,649585.3827,4988423.926
455,EU022.00,A,30,5.1,0.59,100.0,29.5,31,163,7/17/2019 0:00,45.05810071,-67.11757058,EU,ed25c88f-4768-4eb9-9f43-460deb0330fa,648214.199,4991128.377
456,EU022.50,A,30,3.9,0.6,760.0,23.7,31,163,6/26/2019 0:00,45.05927071,-67.10909058,EU,a4b66427-fcff-4a52-af52-8946f38b0612,648878.8392,4991273.918
457,EU025.00,A,30,3.2,0.42,46.0,11.2,31,163,6/12/2019 0:00,45.08303071,-67.10917058,EU,7b7020c5-c546-489c-82be-82c605e7830f,648810.8487,4993913.236
458,EU026.00,A,30,3.0,0.42,68.0,10.5,31,163,6/12/2019 0:00,45.09193071,-67.11604058,EU,68c27f30-27fd-4177-a83e-90921a62020e,648247.1398,4994889.311
459,WA015.00,R,30,6.4,0.78,1700.0,66.4,31,163,5/6/2019 0:00,43.09693118,-70.76785946,WA,0a53c735-e521-434a-9a8d-5141408eb546,356129.8493,4773095.657
460,WA016.00,R,30,7.5,0.67,1140.0,55.9,31,163,5/6/2019 0:00,43.10265118,-70.77269946,WA,5285b3dd-70ee-427b-ba2c-e353cebb2bcc,355749.39,4773739.203
461,WA024.00,A,30,3.1,0.33,20.0,8.4,31,163,3/20/2019 0:00,43.08272118,-70.71766948,WA,c512884a-09c1-4eab-8ee7-d3c4438f66bc,360182.1156,4771432.675
462,WA031.00,R,30,7.0,0.55,360.0,35.7,31,163,3/20/2019 0:00,43.10709118,-70.72815947,WA,96ee113d-9886-4979-9b10-316000d1dd74,359384.0021,4774156.595
463,WA033.00,A,30,5.6,0.51,134.0,26.2,31,163,3/20/2019 0:00,43.09612118,-70.72363948,WA,288e5097-3fe7-4f83-a49e-c6fde070ebd7,359726.7408,4772930.763
464,WA038.00,R,30,5.7,0.69,1700.0,44.8,31,163,3/20/2019 0:00,43.08315118,-70.69500949,WA,461cb2fe-9482-468a-844c-7aef63e72396,362027.6359,4771442.895
465,WA043.00,A,30,3.3,0.45,82.0,12.8,31,163,3/20/2019 0:00,43.06721118,-70.69353949,WA,829e78ed-223c-4988-ab65-c17c88561dc7,362111.5502,4769670.291
466,WB005.00,A,30,2.7,0.45,180.0,10.5,31,163,3/20/2019 0:00,43.09807118,-70.6611895,WB,31d5e09d-b81e-4c1b-bea7-a22e6f5ecf52,364813.4359,4773044.718
467,WB020.00,R,30,5.7,0.59,200.0,33.4,31,163,3/20/2019 0:00,43.14118117,-70.69322948,WB,35183e5f-89f4-438c-b8c6-be17b4d88f93,362302.7261,4777884.416
468,WB021.00,A,30,3.7,0.43,34.0,13.3,31,163,3/20/2019 0:00,43.14209117,-70.67599949,WB,316a85c0-2d9d-4f46-99c8-fa539197255d,363705.9572,4777957.295
469,WB023.00,A,30,2.4,0.24,12.0,5.1,31,163,1/20/2016 0:00,43.13678117,-70.66043949,WB,93d163ec-a489-4754-bbd8-0c1bb027548e,364959.6473,4777342.398
470,WB026.00,A,30,4.4,0.44,54.0,16.4,31,163,1/20/2016 0:00,43.12535117,-70.6519595,WB,84e1cf2c-a1b0-44c0-8c3f-b9832bdc38ea,365624.294,4776059.416
471,WB026.50,A,30,2.0,0.08,4.0,2.5,31,163,1/20/2016 0:00,43.12654117,-70.6474495,WB,614effc6-25ca-4d5a-8ab7-438240edfb76,365993.7569,4776184.348
472,WB027.00,A,30,2.1,0.17,10.0,3.6,31,163,1/20/2016 0:00,43.13268117,-70.6420795,WB,ccc11058-e3ca-4a65-a4e8-9642235aecbd,366443.9331,4776857.644
473,WB029.00,A,30,2.6,0.24,11.0,5.5,31,163,3/20/2019 0:00,43.13262117,-70.6388595,WB,576b206e-ffaf-4a94-be7c-9058fd163b70,366705.7014,4776845.852
474,WD007.00,A,30,4.3,0.49,66.0,18.7,31,163,1/7/2019 0:00,43.25076114,-70.59714951,WD,6a3d2f07-039a-4f5a-be7d-211b549c6515,370348.5676,4789900.351
475,WD007.50,A,30,4.4,0.47,52.0,18.1,31,163,1/7/2019 0:00,43.25413114,-70.59556951,WD,ce6f09a3-6480-4cf5-a457-1c75cccc1e97,370483.9723,4790272.16
476,WD008.00,R,30,8.4,0.76,780.0,80.5,31,163,5/15/2019 0:00,43.25954114,-70.59491951,WD,b4fa5565-809a-4664-95e0-20010527ad66,370548.199,4790871.966
477,WD009.00,A,30,3.8,0.44,52.0,14.1,31,163,1/7/2019 0:00,43.26303114,-70.59121951,WD,8c82a7dc-539d-4537-9891-438e50c5410d,370855.8934,4791253.828
478,WD009.50,R,30,10.7,0.83,1240.0,127.1,31,163,5/15/2019 0:00,43.26659114,-70.58899951,WD,be81f8a4-a27b-4df4-8a0d-d41d1b994f32,371043.5892,4791645.76
479,WD010.00,A,30,2.7,0.32,60.0,7.0,31,163,3/25/2019 0:00,43.25036114,-70.59335951,WD,caf2121e-0e9c-4164-a46a-1e967a292ecb,370655.3858,4789850.058
480,WD013.60,R,30,7.5,0.72,320.0,62.9,31,163,4/9/2019 0:00,43.30305113,-70.56900952,WD,82d21fa5-8f56-47c8-8c9c-03a2f25da4bf,372741.9602,4795664.224
481,WD014.00,A,30,2.9,0.38,31.0,9.3,31,163,2/5/2019 0:00,43.30407113,-70.57669951,WD,478b2d3d-b1bb-4287-8b7e-1809563f95b4,372120.3747,4795789.248
482,WD016.00,A,30,4.8,0.62,520.0,30.7,31,163,2/5/2019 0:00,43.30828113,-70.56892952,WD,bb07b4d3-ca24-43d4-b694-b4cb2651b649,372759.3606,4796244.929
483,WD018.50,A,30,2.9,0.39,54.0,9.2,31,163,3/25/2019 0:00,43.32134113,-70.56537952,WD,2b8c3560-afcc-41f6-b91f-791d4f8a16ac,373074.4618,4797689.93
484,WD019.00,A,30,2.6,0.25,10.0,5.5,31,163,2/5/2019 0:00,43.32032113,-70.56396952,WD,f4aab13d-3bc9-4506-8266-75f538c12755,373186.6684,4797574.509
485,WD020.00,A,30,4.0,0.59,1140.0,23.1,31,163,2/20/2019 0:00,43.32922113,-70.56582952,WD,535a4033-fa5f-4977-b1dd-1fa8c1734f36,373054.388,4798565.744
486,WD022.00,A,30,4.6,0.43,52.0,16.7,31,163,2/20/2019 0:00,43.33067113,-70.55784952,WD,dda30e8d-5327-466d-bf21-36b6ac303a47,373704.3607,4798714.672
487,WD024.00,A,30,2.8,0.39,48.0,9.1,31,163,2/5/2019 0:00,43.32121113,-70.55672952,WD,53a2e0c0-1a3d-47eb-8053-761d653afed2,373775.57,4797662.378
488,WD028.00,A,30,2.3,0.27,44.0,5.2,31,163,3/25/2019 0:00,43.33941113,-70.52867953,WD,081fa570-9783-49ea-b243-38fdea2f1646,376086.9969,4799641.591
489,WD031.00,A,30,2.9,0.35,28.0,8.6,31,163,3/25/2019 0:00,43.34415112,-70.51806953,WD,c2e0af9c-09bc-43ec-8a22-2e48a6f9aefb,376956.6181,4800152.305
490,WD036.00,A,30,3.7,0.58,840.0,20.9,31,163,3/25/2019 0:00,43.34363112,-70.50643953,WD,1b0e5c93-5ca6-42cd-bbf3-78cec1bbb146,377898.2293,4800077.474
