X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area
514418.325,4914209.2385,1,EA001.00,A,30,30,2.1,0.16,13,3.5,31,163,2016/04/19 00:00:00+00,44.38102,-68.819,EA
516928.5648,4916295.7247,2,EA003.50,P,30,30,2,0.12,8,2.9,31,163,2016/04/19 00:00:00+00,44.39975,-68.78742,EA
518018.146,4916806.2638,3,EA005.00,P,30,30,2.1,0.16,9.1,3.4,31,163,2016/04/19 00:00:00+00,44.40432,-68.77372,EA
518997.314,4919353.8145,4,EA006.00,CA,30,30,2.9,0.47,150,11.8,31,163,2016/01/04 00:00:00+00,44.42723,-68.76133,EA
520438.7005,4920153.4906,5,EA007.00,A,30,30,2.4,0.33,118,6.6,31,163,2016/05/10 00:00:00+00,44.43439,-68.74319,EA
521790.3737,4922687.1132,6,EA009.00,A,30,30,3,0.44,78,11.3,31,163,2016/05/10 00:00:00+00,44.45716,-68.7261,EA
521249.878,4923024.1137,7,EA010.00,A,30,30,3.4,0.5,132,14.9,31,163,2016/05/10 00:00:00+00,44.46021,-68.73288,EA
520818.9115,4923704.7396,8,EA011.00,R,30,30,3.4,0.43,86,12.4,31,163,2016/05/10 00:00:00+00,44.46635,-68.73827,EA
521822.0199,4923925.7401,9,EA012.00,R,30,30,4.4,0.47,98,18.1,31,163,2016/05/10 00:00:00+00,44.46831,-68.72565,EA
522288.559,4923569.6498,10,EA013.00,A,30,30,3.6,0.39,24,11.8,31,163,2016/05/10 00:00:00+00,44.46509,-68.7198,EA
523146.9769,4923313.8346,11,EA014.00,P,30,30,4.4,0.53,180,21.2,31,163,2016/05/10 00:00:00+00,44.46276,-68.70902,EA
523179.7605,4922373.1191,12,EA014.90,A,30,30,3.7,0.42,152,13.3,31,163,2016/05/10 00:00:00+00,44.45429,-68.70865,EA
523398.9255,4922269.4899,13,EA015.00,P,30,30,7.2,0.57,360,40.1,31,163,2016/05/10 00:00:00+00,44.45335,-68.7059,EA
522832.8039,4921939.7992,14,EA015.50,A,30,30,3,0.4,108,10.3,31,163,2016/05/10 00:00:00+00,44.4504,-68.71303,EA
521816.9731,4920684.4692,15,EA017.00,A,30,30,2.1,0.19,15,3.8,31,163,2016/05/10 00:00:00+00,44.43913,-68.72585,EA
523525.0949,4916189.5572,16,EA019.00,A,30,30,4,0.39,44,12.8,31,163,2016/05/04 00:00:00+00,44.39861,-68.70459,EA
523555.7234,4915867.5443,17,EA019.10,A,30,30,3,0.33,66,7.9,31,163,2016/05/04 00:00:00+00,44.39571,-68.70422,EA
525130.5144,4915790.1141,18,EA019.20,A,30,30,4.4,0.51,360,20.5,31,163,2016/05/04 00:00:00+00,44.39496,-68.68445,EA
525223.301,4915686.0597,19,EA019.23,A,30,30,5.1,0.52,122,24,31,163,2016/05/04 00:00:00+00,44.39402,-68.68329,EA
525101.589,4915442.3312,20,EA019.27,A,30,30,3.5,0.46,114,13.7,31,163,2016/05/04 00:00:00+00,44.39183,-68.68483,EA
525836.0739,4914599.9019,21,EA019.38,A,30,30,3.9,0.51,280,17.9,31,163,2016/05/04 00:00:00+00,44.38422,-68.67565,EA
526097.3777,4914592.0556,22,EA019.39,A,30,30,4.6,0.55,460,23.5,31,163,2016/05/04 00:00:00+00,44.38414,-68.67237,EA
