X,Y,OBJECTID,Station,Class,Count_,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area,GlobalID
627148.3227,4940681.1532,378,ER001.00,A,30,2.3,0.22,13,4.5,31,163,2015/08/24 00:00:00+00,44.60825,-67.39764,ER,97253698-21ce-4846-91df-60bed29c6cc7
628152.9777,4942861.2194,379,ER003.10,A,30,2.1,0.19,16,3.8,31,163,2015/08/24 00:00:00+00,44.62769,-67.38444,ER,4b5251ba-e7d2-4147-aa0a-4b67ced7659d
628571.0652,4944184.1219,380,ER004.00,A,30,4.5,0.5,42,20,31,163,2018/06/26 00:00:00+00,44.63952,-67.37884,ER,0854fa23-f032-4900-a92c-e10b4f0a60e1
628467.8789,4944665.4635,381,ER005.00,A,30,3.1,0.41,160,10.8,31,163,2018/11/06 00:00:00+00,44.64387,-67.38002,ER,42d049a1-e594-4a9c-8ce4-3f7f6197e71a
628441.9824,4948440.9825,382,ER008.00,CA,30,4.2,0.49,320,18.4,31,163,2020/06/01 00:00:00+00,44.67785,-67.3794,ER,ec8e8c2c-2306-4503-b573-fe6e3924617f
627793.4653,4948278.0954,383,ER009.00,CA,30,4.5,0.46,46,17.9,31,163,2013/09/10 00:00:00+00,44.6765,-67.38762,ER,95cbaedc-fd71-4fa7-89d3-fa505d8d1536
626990.2831,4949365.7166,384,ER012.00,P,30,3.6,0.35,29,10.5,31,163,2019/06/18 00:00:00+00,44.68643,-67.39748,ER,9b80356d-89c1-4515-b616-ff713db17d69
627197.4392,4949353.1268,385,ER012.10,CA,30,4.9,0.45,76,19.1,31,163,2020/05/05 00:00:00+00,44.68628,-67.39487,ER,f7557299-d41f-4572-83ea-7b2a5942b62d
627324.9905,4950522.4546,386,ER016.00,CA,30,5.7,0.42,35,20.2,31,163,2020/06/01 00:00:00+00,44.69678,-67.39297,ER,5aa9002e-375c-4f4f-9415-6e215e94a089
626389.4679,4952597.6517,387,ER019.00,P,23,9,0.59,220,52.7,31,163,2010/01/05 00:00:00+00,44.71562,-67.40426,ER,7ebfe390-8c93-4c6e-b9b4-c43c510fd545
627639.6718,4953084.5612,388,ER035.00,P,22,12.6,0.77,1100,127,31,163,2010/02/02 00:00:00+00,44.71978,-67.38836,ER,97ccb1c5-f349-48c8-abea-c6d4fd4d5bbe
628243.4351,4952246.427,389,ER038.00,P,30,5.1,0.5,260,22.8,31,163,2018/06/26 00:00:00+00,44.71213,-67.38095,ER,cbb534c2-590f-4f7e-b385-9d648b7a5b8a
628093.8011,4951721.1611,390,ER039.00,P,30,4.7,0.49,100,20.3,31,163,2018/06/26 00:00:00+00,44.70743,-67.38297,ER,6e289c6c-bb78-4b10-85fd-754381cd59c1
627842.9784,4949861.499,391,ER043.00,CA,30,4,0.5,62,17.8,31,163,2020/06/01 00:00:00+00,44.69074,-67.3866,ER,17410d97-c3f5-4bae-8c22-756da3774a73
628755.5843,4949890.7539,392,ER045.00,CA,30,4.7,0.48,72,19.8,31,163,2020/06/01 00:00:00+00,44.69084,-67.37508,ER,fb48bfd3-6dbe-403d-ab61-34ea61bfefa2
630033.9254,4951321.0302,393,ER046.00,A,30,2.4,0.2,9.1,4.4,31,163,2018/06/26 00:00:00+00,44.70348,-67.35859,ER,0540ade9-2b80-4d84-9a67-be2c2915c4be
633185.1077,4951665.3667,394,ER047.00,A,30,3.8,0.32,20,10.2,31,163,2018/06/26 00:00:00+00,44.706,-67.31874,ER,242c7cfb-043a-4220-a987-5e5e10baea99
633877.8508,4951928.6391,395,ER047.50,A,30,4.4,0.53,280,21.6,31,163,2018/06/26 00:00:00+00,44.70824,-67.30993,ER,afed1c39-1f3a-49df-a6a5-7f4dc4a3e623
634704.9017,4951222.3995,396,ER050.00,A,30,4.5,0.64,1700,30.1,31,163,2018/06/26 00:00:00+00,44.70173,-67.29968,ER,091f41db-f991-4e89-86ca-485eac69402e
637640.606,4947432.5227,397,ES004.00,A,30,3,0.41,114,10.4,31,163,2018/06/26 00:00:00+00,44.66707,-67.26366,ES,13910afd-edc4-453f-ae42-a680ccf1d93b
639428.4896,4947198.5945,398,ES005.10,A,30,4,0.51,110,18.6,31,163,2019/04/22 00:00:00+00,44.66462,-67.24118,ES,8ea4e59b-fb53-4c04-9ecc-bf8226385129
640431.4504,4946593.5266,399,ES008.00,A,30,4,0.61,1100,24.7,31,163,2018/08/15 00:00:00+00,44.65898,-67.2287,ES,01a8e320-9963-41e8-b20d-b86845383f42
641650.3272,4946207.8261,400,ES009.00,A,30,3.2,0.54,500,15.9,31,163,2018/06/26 00:00:00+00,44.65527,-67.21344,ES,547e8a17-d178-46e8-9083-89a049eb0424
649220.4545,4955504.0503,401,ES015.00,A,30,2.5,0.25,22,5.3,31,163,2018/08/15 00:00:00+00,44.73738,-67.1153,ES,b2d30c93-771d-41c2-9803-84a71ed1b0e1
652769.8023,4957460.0373,402,ES016.80,A,30,2.9,0.42,48,10.4,31,163,2018/08/15 00:00:00+00,44.75423,-67.06991,ES,ab620877-b6f2-497e-b746-a8038e2e530f
653673.2522,4959491.0672,403,ES017.10,A,30,3.2,0.35,35,9.2,31,163,2019/01/29 00:00:00+00,44.77231,-67.05789,ES,df590318-20a4-44ba-9f77-c860ba4ddf1c
659946.0639,4964114.491,404,ES021.50,A,30,3.8,0.49,88,16.3,31,163,2019/05/08 00:00:00+00,44.81253,-66.97721,ES,2a1e7252-d362-4ba5-9e57-0f3fa6635113
659047.921,4964311.1668,405,ES022.00,R,30,6.1,0.6,260,36,31,163,2018/06/26 00:00:00+00,44.8145,-66.9885,ES,163ab35d-33c2-45c5-a5aa-516e18248382
658980.157,4965418.7901,406,ES023.00,A,30,2.9,0.38,60,9.3,31,163,2018/06/26 00:00:00+00,44.82448,-66.98901,ES,9387059c-521f-4675-a84c-801e693dfe60
658308.8045,4967494.0898,407,ES026.00,A,30,4.2,0.54,98,20.8,31,163,2019/05/08 00:00:00+00,44.8433,-66.99685,ES,f77d3a09-3f1a-4853-b2ab-cc9d3d238189
659471.3396,4968795.5744,408,ES027.00,A,30,3,0.41,54,10.4,31,163,2019/05/08 00:00:00+00,44.85475,-66.98174,ES,35011d5d-4fad-4b4d-a9e3-0de46092f849
656559.2891,4967799.0806,409,ET008.00,A,30,3.8,0.46,52,15.2,31,163,2018/06/27 00:00:00+00,44.84643,-67.01888,ET,c934bdea-2409-4c29-854b-b4cdd809f785
656711.2882,4968018.4232,410,ET008.30,A,30,3.6,0.47,62,14.9,31,163,2018/06/27 00:00:00+00,44.84837,-67.01689,ET,c30129ab-d173-4779-8a55-82a07a0a3113
656813.2142,4969089.0761,411,ET009.00,A,30,2.7,0.36,82,7.9,31,163,2018/06/27 00:00:00+00,44.85798,-67.01527,ET,eb834154-1299-4685-8049-67af04899268
656940.6253,4969794.6692,412,ET011.00,A,30,4.5,0.61,1700,28.1,31,163,2019/05/14 00:00:00+00,44.8643,-67.01344,ET,c57e0f80-f76c-48f1-8555-b66d394324b2
656924.9628,4969820.9624,413,ET011.10,A,30,4,0.52,136,18.8,31,163,2018/10/09 00:00:00+00,44.86454,-67.01363,ET,6f34b79b-6f34-4cee-8cb5-a9df4470ef57
656507.4943,4970602.1592,414,ET012.00,A,30,2.8,0.29,22,6.7,31,163,2018/05/15 00:00:00+00,44.87166,-67.01867,ET,3356574f-5d55-4f47-80c8-3cf6baa21d63
656473.5784,4971279.3551,415,ET013.00,A,30,3.7,0.4,52,12.5,31,163,2018/06/27 00:00:00+00,44.87776,-67.01889,ET,1f017f45-590f-4c03-afd5-f297c8491425
656305.7646,4968987.7718,416,ET020.00,A,30,3.6,0.54,300,18.3,31,163,2018/06/27 00:00:00+00,44.85718,-67.02172,ET,bfdeb9f1-c4dc-46e3-9bac-8de7ce771bca
653406.9038,4965904.5751,417,ET023.00,A,30,2.4,0.26,38,5.4,31,163,2018/06/27 00:00:00+00,44.83007,-67.05932,ET,fca94974-cb61-4274-9e62-cebd29410d7b
651707.2516,4968679.5441,418,ET025.00,A,30,2.7,0.43,140,10,31,163,2018/06/27 00:00:00+00,44.8554,-67.07998,ET,140ecf1c-5d5f-4082-9e97-7edce4efc384
650669.3757,4971902.7873,419,ET026.00,A,30,2.1,0.16,10,3.4,31,163,2018/06/27 00:00:00+00,44.88462,-67.09215,ET,71e6aa52-e428-4451-ab7c-bd7654f4890d
650167.6361,4970485.013,420,ET029.00,A,30,2.3,0.26,36,5,31,163,2018/06/27 00:00:00+00,44.87197,-67.09892,ET,d3a6d682-f125-4332-b3f1-03cd4f6ff06f
650893.7897,4968845.9761,421,ET032.00,A,30,3.2,0.46,112,13,31,163,2018/06/27 00:00:00+00,44.85707,-67.09022,ET,35ac3816-3490-4f5f-9f73-e6b233ab1421
648382.9914,4967172.4915,422,ET033.50,A,30,3.1,0.58,1420,18.1,31,163,2018/05/15 00:00:00+00,44.84254,-67.12247,ET,cdfd82ec-e311-47c4-a6a3-2309e909c86a
646979.8966,4970431.1614,423,ET036.00,A,30,1.9,0.09,6,2.6,31,163,2018/06/27 00:00:00+00,44.87215,-67.13927,ET,f8353679-db04-4c2c-ab54-5fcc875fb7d6
647989.138,4964601.5433,424,ET039.00,A,30,3.9,0.54,580,19.6,31,163,2019/02/04 00:00:00+00,44.81949,-67.1282,ET,ff63bec4-13e3-4c78-9216-99f9bfa15aef
644706.328,4962353.9662,425,ET044.00,A,30,3.9,0.44,240,14.6,31,163,2018/08/20 00:00:00+00,44.79994,-67.17034,ET,d5a422f6-689a-4d13-9579-62a989d74958
645179.6841,4963152.6254,426,ET045.00,A,30,2.9,0.35,86,8.2,31,163,2018/06/27 00:00:00+00,44.80703,-67.16413,ET,b676e76c-1d38-4eff-97a5-0d2632497394
645880.7066,4964928.9785,427,ET047.00,A,30,3.1,0.47,200,12.9,31,163,2018/08/22 00:00:00+00,44.82287,-67.15476,ET,7e746037-b562-4e35-8010-f9b0b6405b68
646347.6891,4968766.2306,428,ET054.00,A,30,2.1,0.2,25,3.9,31,163,2018/06/27 00:00:00+00,44.8573,-67.14775,ET,820068a2-6aeb-42e3-af33-b31399aef2b1
642424.1669,4972122.1617,429,ET057.00,A,30,3.2,0.5,380,14.4,31,163,2018/07/11 00:00:00+00,44.88829,-67.19644,ET,02e7dba4-976a-4c28-979b-348bd798949a
642098.9287,4971860.4318,430,ET057.20,CA,30,4.4,0.44,54,16.7,31,163,2020/04/01 00:00:00+00,44.886,-67.20063,ET,c0f85f00-2377-4ca6-a3ae-99e5c5b8f786
641697.8045,4974171.041,431,ET059.00,A,30,4.9,0.42,42,17.3,31,163,2018/07/11 00:00:00+00,44.90687,-67.20506,ET,df6b3954-a48f-40d2-8903-2dbafabfd551
641069.2205,4974022.6867,432,ET060.00,R,30,10.7,0.58,520,60.4,31,163,2018/07/11 00:00:00+00,44.90566,-67.21306,ET,6e5e8a96-a755-48b3-924c-e3f7e223cbb2
640814.6043,4974826.1795,433,ET063.00,R,30,7.6,0.65,1000,53,31,163,2018/07/11 00:00:00+00,44.91294,-67.21606,ET,6ac2d79b-d357-4122-9622-518a2f6c1067
640776.766,4976331.2902,434,ET066.50,A,30,4.8,0.53,128,23.3,31,163,2018/07/11 00:00:00+00,44.92649,-67.21612,ET,4604af6f-ae33-4a0b-bf29-f5e7e7b2f875
643356.8059,4975494.9772,435,ET068.00,A,30,3.5,0.38,31,10.9,31,163,2018/05/21 00:00:00+00,44.91845,-67.18368,ET,f0969c97-8e1b-43a7-b7cc-83deee814949
646084.6546,4973508.2625,436,ET070.00,A,30,3.2,0.38,64,10,31,163,2018/05/21 00:00:00+00,44.90002,-67.14971,ET,e1a1daaf-2519-46af-bc1d-091f1306f94d
647084.4045,4972179.6261,437,ET071.00,A,30,2.1,0.12,6,3,31,163,2018/05/21 00:00:00+00,44.88786,-67.13744,ET,57b617bf-4ba3-4571-a1b9-a305d528831b
649003.6173,4973299.848,438,ET074.00,A,30,2,0.12,6,2.9,31,163,2018/07/11 00:00:00+00,44.89754,-67.11282,ET,a6e7cfe9-51d7-4b6b-91f2-deb2d0ba8709
645948.5406,4976152.5995,439,ET077.00,A,30,3.4,0.45,80,12.9,31,163,2018/07/11 00:00:00+00,44.92384,-67.15067,ET,92da7b2a-ce06-4062-8c4b-aacc640c27bc
644765.5359,4977521.6916,440,ET079.00,A,30,3.9,0.39,31,12.6,31,163,2018/07/11 00:00:00+00,44.9364,-67.16526,ET,47e6b472-934e-4783-9544-b0d034e05299
645159.3442,4977909.6132,441,ET085.00,A,30,3.9,0.42,64,13.6,31,163,2018/08/21 00:00:00+00,44.93981,-67.16016,ET,6c98bd97-f44c-40f8-a31f-c7c8457e3e33
647200.2828,4976521.3658,442,ET088.90,A,30,2.3,0.17,10,3.9,31,163,2018/07/11 00:00:00+00,44.9269,-67.13471,ET,e22e1833-6903-476b-aca6-a30307009fca
646921.8054,4979775.9604,443,ET091.00,A,30,4.5,0.53,112,21.8,31,163,2018/08/21 00:00:00+00,44.95624,-67.13729,ET,440d4522-c55e-4849-a57b-cf737091700d
647745.1813,4977987.7036,444,ET091.70,A,30,2.2,0.29,78,5.3,31,163,2018/08/21 00:00:00+00,44.93998,-67.12738,ET,af742179-f770-4688-8441-598bae132ed0
651770.4473,4975522.1801,445,ET095.00,A,30,3,0.38,42,9.2,31,163,2018/10/10 00:00:00+00,44.91695,-67.07713,ET,df430f47-fc37-4e9f-8d8d-dd674859ac76
653868.169,4977847.4986,446,ET097.00,A,30,2.6,0.22,10,5.1,31,163,2018/08/21 00:00:00+00,44.93742,-67.04986,ET,3d750cd3-a68c-4117-b143-5d4ef09cba62
654570.8789,4979379.4299,447,ET099.00,A,30,2.6,0.3,26,6.6,31,163,2018/08/21 00:00:00+00,44.95105,-67.04049,ET,07c9a880-c473-41de-886e-1a1e818f88e4
655078.5807,4978036.7823,448,ET100.00,A,30,2.6,0.23,12,5.2,31,163,2018/08/21 00:00:00+00,44.93886,-67.03447,ET,dae521ba-b433-45fb-afda-d43604a77cfd
655387.3888,4977186.1837,449,ET100.15,A,30,3.5,0.46,98,14,31,163,2018/08/21 00:00:00+00,44.93114,-67.03082,ET,b8d4256e-9525-4117-9b6f-124e3cd244ac
655066.9115,4976889.416,450,ET100.20,R,30,3.5,0.57,240,19.5,31,163,2018/08/21 00:00:00+00,44.92854,-67.03497,ET,e15a41f7-1e6d-4f6f-8701-51f5edd3099b
656638.0905,4976346.3508,451,ET103.10,A,30,2.2,0.17,12,3.7,31,163,2018/08/21 00:00:00+00,44.92331,-67.01524,ET,d4ec4c83-3877-4f6d-a996-ad00bb84e39e
656320.9906,4974714.6655,452,ET104.00,A,30,2,0.12,8,2.9,31,163,2018/08/21 00:00:00+00,44.9087,-67.01976,ET,980996ef-9ecc-4636-9288-64faf7e1a30f
656951.3452,4974326.5996,453,EU001.00,P,30,2.2,0.16,6,3.7,31,163,2018/08/21 00:00:00+00,44.90507,-67.0119,EU,c705c1e5-284d-4d71-ad2d-28cc5b10c0cf
657761.7025,4973946.3575,454,EU001.50,A,30,3,0.42,148,10.7,31,163,2018/08/21 00:00:00+00,44.90147,-67.00176,EU,7c669b37-96eb-461a-adb0-16f43f08b305
657684.7154,4975949.6659,455,EU008.00,A,30,2.3,0.29,36,5.5,31,163,2018/08/21 00:00:00+00,44.91951,-67.00211,EU,1a90732e-5edf-403d-80e6-22a489abff27
656621.853,4976687.192,456,EU009.00,A,30,2.9,0.37,36.4,8.9,31,163,2018/08/21 00:00:00+00,44.92638,-67.01534,EU,1783d513-dc88-4c76-82a9-7843d8176aee
653211.8485,4981580.8501,457,EU016.00,A,30,2.7,0.41,130,9.6,31,163,2018/08/21 00:00:00+00,44.97115,-67.05704,EU,56be9684-f7c1-4501-80fd-bdf49c4ea3ba
649585.3827,4988423.9255,458,EU020.00,A,30,4.1,0.64,980,27.6,31,163,2019/01/07 00:00:00+00,45.03349,-67.10097,EU,9bd8c4d6-c3a9-4049-b6b9-640660d2fc0d
648214.199,4991128.3767,459,EU022.00,R,30,5,0.56,86,26.4,31,163,2018/08/21 00:00:00+00,45.05811,-67.11757,EU,4a28a868-6e93-4e91-8a9b-fd201216225b
648878.8392,4991273.9178,460,EU022.50,A,30,3.9,0.59,760,22.4,31,163,2018/08/21 00:00:00+00,45.05928,-67.10909,EU,24bca285-85d3-4445-81a8-8335522c1566
648810.8487,4993913.2364,461,EU025.00,A,30,3.1,0.42,46,11,31,163,2018/08/21 00:00:00+00,45.08304,-67.10917,EU,067b2874-5e7d-48e7-b58f-03c26d968120
648247.1398,4994889.3109,462,EU026.00,A,30,3,0.42,68,10.8,31,163,2018/08/21 00:00:00+00,45.09194,-67.11604,EU,ede9f611-31b2-4747-aea4-8ceaa77ed207
356129.8493,4773095.6568,463,WA015.00,R,30,5.5,0.74,1700,49.8,31,163,2018/03/14 00:00:00+00,43.09694,-70.76786,WA,1afdd486-6a11-4276-9ffd-b2e8dcc1663f
355749.39,4773739.2025,464,WA016.00,R,30,6.9,0.63,1140,45,31,163,2018/03/14 00:00:00+00,43.10266,-70.7727,WA,1383d2ab-e1b3-4127-b777-8c73baa4b4a4
360182.1156,4771432.6752,465,WA024.00,P,30,3,0.33,20,8.1,31,163,2018/03/14 00:00:00+00,43.08273,-70.71767,WA,66855272-ba46-4230-ac6f-0700888f4dc8
359384.0021,4774156.5949,466,WA031.00,P,30,6.7,0.59,360,38.5,31,163,2018/03/14 00:00:00+00,43.1071,-70.72816,WA,1afd1913-af64-47cb-9596-fd714c9a0984
359726.7408,4772930.763,467,WA033.00,P,30,5.4,0.46,134,21.3,31,163,2018/03/14 00:00:00+00,43.09613,-70.72364,WA,ea34e7f3-bd62-4220-8555-68d21a4ecf6b
362027.6359,4771442.8945,468,WA038.00,P,30,4.1,0.5,300,18.7,31,163,2018/03/21 00:00:00+00,43.08316,-70.69501,WA,8071f956-f1f4-4685-ac23-e336b78ffa9c
362111.5502,4769670.2907,469,WA043.00,P,30,3.2,0.45,82,12.3,31,163,2018/03/14 00:00:00+00,43.06722,-70.69354,WA,cbe3b375-3e26-445f-bdc7-8230604eb46f
364813.4359,4773044.7177,470,WB005.00,A,30,2.5,0.35,34,7.4,31,163,2018/03/14 00:00:00+00,43.09808,-70.66119,WB,23a798ef-4120-4d8c-815b-7e3f07faccf2
362302.7261,4777884.4158,471,WB020.00,P,30,7.6,0.68,200,58,31,163,2018/03/14 00:00:00+00,43.14119,-70.69323,WB,35428ddb-e927-4690-bbc7-b6b3d6887bc5
363705.9572,4777957.2954,472,WB021.00,R,30,3.4,0.38,24,10.6,31,163,2018/03/14 00:00:00+00,43.1421,-70.676,WB,3c35d552-f04b-4cd7-ba23-6cfb5b4575e1
364959.6473,4777342.3976,473,WB023.00,CA,30,2.4,0.24,12,5.1,31,163,2015/02/09 00:00:00+00,43.13679,-70.66044,WB,1c7a6990-b549-4394-8e0b-6ceb58554107
365624.294,4776059.4164,474,WB026.00,CA,30,4.2,0.43,54,15,31,163,2015/03/18 00:00:00+00,43.12536,-70.65196,WB,27d96743-003c-4e97-a444-90e2d1ed7a28
365993.7569,4776184.3476,475,WB026.50,CA,30,2,0.08,4,2.5,31,163,2015/02/09 00:00:00+00,43.12655,-70.64745,WB,b7ddf62b-607a-409e-88ed-1e8d3e3822b7
366443.9331,4776857.6438,476,WB027.00,CA,30,2.3,0.2,10,4.3,31,163,2015/02/09 00:00:00+00,43.13269,-70.64208,WB,d736e6e3-ae26-4f2e-8e56-51a6c0d93bba
366705.7014,4776845.8524,477,WB029.00,P,30,2.6,0.25,14,5.6,31,163,2018/03/14 00:00:00+00,43.13263,-70.63886,WB,7564f346-7d1f-4c2f-9621-24ab4c4ec5b3
370348.5676,4789900.351,478,WD007.00,CA,30,5.5,0.54,66,28.1,31,163,2018/01/16 00:00:00+00,43.25077,-70.59715,WD,1ae6632e-850c-464f-a5bf-1cdba963432b
370483.9723,4790272.1601,479,WD007.50,CA,30,4.8,0.48,52,20,31,163,2018/01/16 00:00:00+00,43.25414,-70.59557,WD,2d3962e8-642e-4ef4-acd4-a2795f04dfb3
370548.199,4790871.9661,480,WD008.00,P,30,11.9,0.76,780,115.6,31,163,2018/05/29 00:00:00+00,43.25955,-70.59492,WD,3c15ba7b-ed83-41db-b21b-2a389c2755b8
370855.8934,4791253.8278,481,WD009.00,CA,30,3.9,0.46,52,15.3,31,163,2018/01/16 00:00:00+00,43.26304,-70.59122,WD,f8e84d6b-188f-4022-9b4d-7de6f11ce1aa
371043.5892,4791645.7596,482,WD009.50,P,30,9.5,0.73,260,82.2,31,163,2018/05/29 00:00:00+00,43.2666,-70.589,WD,8623dd8d-310b-417f-87e9-70c37156580f
370655.3858,4789850.0577,483,WD010.00,P,30,2.8,0.38,60,8.8,31,163,2018/04/30 00:00:00+00,43.25037,-70.59336,WD,dd2612f2-accc-4907-9ac0-3b1ec99766c7
372741.9602,4795664.2241,484,WD013.60,R,30,5.8,0.6,320,34.5,31,163,2018/08/15 00:00:00+00,43.30306,-70.56901,WD,8a43f3cb-43ff-4fb4-b8c3-e1c53a10b040
372120.3747,4795789.2483,485,WD014.00,A,30,2.9,0.33,34,7.8,31,163,2018/10/15 00:00:00+00,43.30408,-70.5767,WD,b098530d-d21c-410d-8196-32fea075eff4
372759.3606,4796244.9291,486,WD016.00,A,30,4,0.48,54,17.2,31,163,2018/10/15 00:00:00+00,43.30829,-70.56893,WD,6e3460ab-57cb-46ab-a539-d61c58d21f79
373074.4618,4797689.9295,487,WD018.50,A,30,2.7,0.37,54,8.3,31,163,2018/04/30 00:00:00+00,43.32135,-70.56538,WD,4fabfa1a-727f-474f-86de-4035f48f43e9
373186.6684,4797574.5087,488,WD019.00,A,30,2.4,0.23,10,4.7,31,163,2018/10/15 00:00:00+00,43.32033,-70.56397,WD,fc3b9439-f23c-41d5-a675-3c3e4561a512
373054.388,4798565.7437,489,WD020.00,CA,30,4,0.58,1140,22.2,31,163,2019/01/07 00:00:00+00,43.32923,-70.56583,WD,875a8dbe-69a7-4425-b073-3b29cb1720bb
373704.3607,4798714.6721,490,WD022.00,CA,30,4.5,0.39,36,14.6,31,163,2019/01/07 00:00:00+00,43.33068,-70.55785,WD,00e764dd-fe93-4a4f-b633-4ce104e0f627
373775.57,4797662.378,491,WD024.00,A,30,2.8,0.38,48,8.8,31,163,2018/10/15 00:00:00+00,43.32122,-70.55673,WD,41428383-bd40-4e52-a2fd-9bd6662bcd45
376086.9969,4799641.5912,492,WD028.00,P,30,2.8,0.36,44,8.4,31,163,2018/05/29 00:00:00+00,43.33942,-70.52868,WD,04c7b245-b7ed-4626-954e-c60128dafa66
376956.6181,4800152.3049,493,WD031.00,P,30,3,0.34,22,8.5,31,163,2018/05/01 00:00:00+00,43.34416,-70.51807,WD,9d12541b-00c5-4940-b031-cb7cba7f4d69
377898.2293,4800077.4738,494,WD036.00,P,30,3.7,0.55,840,19,31,163,2018/05/01 00:00:00+00,43.34364,-70.50644,WD,dcae63d9-ed7f-4d30-a005-2e1604a29682
378473.6225,4800107.1057,495,WD037.00,P,30,3.3,0.37,42,10.2,31,163,2018/05/01 00:00:00+00,43.344,-70.49935,WD,4426af45-a50a-4678-97b5-75b44e376b38
379490.7698,4800175.5605,496,WD038.00,P,30,2.7,0.33,31,7.4,31,163,2018/05/01 00:00:00+00,43.34478,-70.48682,WD,35020000-cf35-4b9c-b6b1-8a006e0b1467
382824.7497,4801443.4064,497,WE004.00,P,30,6.8,0.61,420,41.4,31,163,2018/05/01 00:00:00+00,43.35672,-70.44597,WE,01cee8cd-fc4f-422f-b8b9-37d0ec39a2ff
383315.9515,4802615.8036,498,WE005.00,P,30,3.9,0.43,72,14.2,31,163,2018/05/01 00:00:00+00,43.36735,-70.44016,WE,7fea8664-7368-4fe2-974b-04f380ecbddc
383560.8693,4802624.9107,499,WE006.00,P,30,6.8,0.7,1700,55.2,31,163,2018/05/01 00:00:00+00,43.36747,-70.43714,WE,f972d558-275c-4ff1-9349-b7095f20c7b5
384077.561,4802791.5517,500,WE008.00,CA,30,3.6,0.52,120,17.3,31,163,2016/03/29 00:00:00+00,43.36905,-70.4308,WE,873e01fc-0dee-48c7-8fdf-0f894158937b
384009.8489,4802435.003,501,WE010.00,P,30,6.6,0.68,720,49.7,31,163,2018/05/01 00:00:00+00,43.36583,-70.43156,WE,ad0868ff-0d82-49c8-abc4-6cef929bbdd7
384114.1887,4802469.8731,502,WE010.20,P,30,3.7,0.52,280,17.6,31,163,2018/05/01 00:00:00+00,43.36616,-70.43028,WE,44073ef3-0733-4c27-965b-e8a8c29b48b0
383718.7731,4803653.1117,503,WE011.00,CA,30,3.3,0.29,15,8.1,31,163,2016/03/29 00:00:00+00,43.37675,-70.43541,WE,3869e18c-ea4c-4c29-8e61-a496dae5666c
384159.6343,4803418.9149,504,WE013.00,CA,30,3.7,0.43,36,13.4,31,163,2016/03/29 00:00:00+00,43.37471,-70.42992,WE,38d69ec7-845e-47db-9168-04ca0a4eef3d
383550.1591,4805153.5194,505,WE018.50,CA,30,4.7,0.51,76,21.3,31,163,2015/05/18 00:00:00+00,43.39023,-70.43781,WE,951c28cb-aec7-4f4f-bb39-66b8b038a8aa
384176.8203,4804988.3273,506,WE020.00,CA,30,3.2,0.5,142,14.4,31,163,2015/05/18 00:00:00+00,43.38884,-70.43004,WE,1c159bd0-7db5-4da6-b7bb-89d79424cebc
384546.4188,4804428.7697,507,WE022.00,A,30,2.8,0.31,36,7,31,163,2018/05/01 00:00:00+00,43.38386,-70.42536,WE,c4807056-a6c0-4074-b15c-e881a15b9c2d
384508.8644,4805691.3979,508,WE023.00,CA,30,2.7,0.34,33,7.7,31,163,2015/05/18 00:00:00+00,43.39522,-70.42609,WE,c1895c62-04f3-43b1-a853-92c2c23032be
384878.6356,4805760.6249,509,WE024.50,A,30,3.3,0.38,48,10.2,31,163,2018/05/07 00:00:00+00,43.3959,-70.42154,WE,ffcdce44-f103-4f68-9f74-b26f451970c4
386446.6448,4806561.6896,510,WE027.00,P,30,8.1,0.7,1700,65,31,163,2018/05/07 00:00:00+00,43.40335,-70.40235,WE,4608b54f-daf7-4206-87d8-9ce66b758ca3
386712.6018,4806433.912,511,WE028.00,A,30,4.2,0.42,46,14.7,31,163,2018/05/07 00:00:00+00,43.40224,-70.39904,WE,7006cd1f-02dc-4be8-b83e-f29e0ad9f949
386817.0734,4806964.2773,512,WE030.00,A,30,4.4,0.51,84,20.1,31,163,2018/05/07 00:00:00+00,43.40703,-70.39786,WE,3fff902a-9c1b-4249-a943-284f321348f1
388525.8752,4809064.2958,513,WF004.50,A,30,4.1,0.56,500,21.8,31,163,2018/05/07 00:00:00+00,43.42619,-70.37719,WF,e8da9eff-d525-41fb-a30d-970a0b805483
389265.1411,4810151.8942,514,WF006.00,A,30,2.6,0.35,50,7.7,31,163,2018/05/07 00:00:00+00,43.43609,-70.36828,WF,4fcec555-8fc0-4cde-a0cb-51f6082ab27b
390606.8687,4810772.0808,515,WF006.10,A,30,3.5,0.46,88,14,31,163,2018/05/02 00:00:00+00,43.44187,-70.35183,WF,dd2b9c27-ba25-42f9-8476-d420527406b2
388788.4736,4812711.4539,516,WG005.00,P,30,5.2,0.54,88,26.5,31,163,2018/05/02 00:00:00+00,43.45906,-70.37469,WG,3cb3baad-f67f-41e7-8ab0-5a8a83d96f86
389709.7118,4811793.1599,517,WG007.00,P,30,4.8,0.49,126,20.9,31,163,2018/05/02 00:00:00+00,43.45093,-70.36312,WG,772a82a1-3a22-40b0-acbc-845b73c6fae3
390308.8088,4811307.9249,518,WG008.10,CA,30,4.3,0.5,86,19,31,163,2018/12/10 00:00:00+00,43.44665,-70.35562,WG,591de781-87f3-4c11-9a9c-a799d4b2ffdd
