X,Y,OBJECTID,Station,Class,Count_,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area,GlobalID
581781.6912,4927551.7263,273,EJ030.50,A,30,3.1,0.43,124,11.4,31,163,2018/04/25 00:00:00+00,44.49666,-67.97133,EJ,56cd4bc2-630f-46b4-8abe-abaece23016f
581795.2645,4926978.6451,274,EJ030.90,A,30,3.1,0.36,46,9.3,31,163,2018/04/25 00:00:00+00,44.4915,-67.97125,EJ,6f741d46-e617-4abc-8b02-538d933f997a
582171.4884,4927097.8188,275,EJ031.00,A,30,2.9,0.36,24,8.7,31,163,2018/04/25 00:00:00+00,44.49253,-67.9665,EJ,11d7671f-f517-4df1-b48f-6f6f99daae64
582125.4216,4926652.8548,276,EJ031.50,A,30,2.9,0.35,32,8.4,31,163,2018/04/25 00:00:00+00,44.48853,-67.96715,EJ,56aa0eb5-0f32-4385-ba2e-e22ee465de91
583021.1508,4921270.556,277,EJ033.00,A,30,2,0.14,8,3.1,31,163,2018/05/07 00:00:00+00,44.43998,-67.95675,EJ,aa75c101-5641-4b04-a0fc-9c70466cd647
583454.5205,4919563.0133,278,EJ034.00,A,30,1.9,0,2,1.9,31,163,2018/05/07 00:00:00+00,44.42456,-67.95158,EJ,ff200af2-183f-4c5d-bb42-17d0dcc262c4
585180.7705,4920946.2759,279,EK002.00,A,30,2.5,0.3,33,6.1,31,163,2018/06/18 00:00:00+00,44.43681,-67.92967,EK,7e8204b1-aab2-4e42-83b1-96a30148345a
584887.2311,4922458.8996,280,EK003.00,A,30,3.3,0.46,126,13.2,31,163,2018/06/18 00:00:00+00,44.45046,-67.93311,EK,5f907587-4bb2-49bf-9dae-2b9ae2bc61fc
585200.7555,4922338.5684,281,EK003.10,A,30,2.7,0.38,108,8.3,31,163,2018/06/18 00:00:00+00,44.44934,-67.92919,EK,c97dd6d2-e9db-4e54-9d14-97a6b4ffaec9
584873.7386,4925261.6786,282,EK003.80,R,30,3.4,0.44,72,12.6,31,163,2018/06/18 00:00:00+00,44.47569,-67.93282,EK,93a40f1f-1913-4c01-8c10-87585e1f2b42
584633.7007,4925736.2644,283,EK004.00,R,30,9.7,0.83,1700,112.5,31,163,2018/06/18 00:00:00+00,44.47999,-67.93576,EK,4b6a826d-f7bd-4fb6-b141-034a091e27a6
585422.9975,4924867.8114,284,EK005.00,R,30,3.9,0.54,104,20,31,163,2018/06/18 00:00:00+00,44.47208,-67.92598,EK,61fcf7f3-3f20-426f-af89-f36dad46b97f
585640.5379,4924658.4776,285,EK005.10,A,30,3.2,0.54,260,15.8,31,163,2018/06/18 00:00:00+00,44.47017,-67.92328,EK,2d66200f-5877-44c7-bc2f-2cbecf20b9ab
586555.5604,4927035.8497,286,EK006.00,R,30,5.7,0.64,440,38.8,31,163,2018/06/18 00:00:00+00,44.49146,-67.91138,EK,a06b3322-6978-4328-9292-675eaf276237
586694.0841,4926487.7634,287,EK006.30,A,30,4.4,0.49,86,19.1,31,163,2018/06/18 00:00:00+00,44.48651,-67.90973,EK,4f477072-7a30-4ab4-a48a-41a5c77fa9b1
586645.0273,4925513.8969,288,EK006.50,A,30,2.4,0.26,16,5.4,31,163,2018/06/18 00:00:00+00,44.47775,-67.91051,EK,afe400e8-56bf-4f40-8dc3-e0d898c5bf3f
587013.1208,4923922.3444,289,EK007.00,A,30,2.5,0.41,124,8.8,31,163,2018/06/18 00:00:00+00,44.46338,-67.90615,EK,99bda3c3-4712-4600-94a6-0728f5744b1f
588152.5048,4921803.5005,290,EK008.00,A,30,2.7,0.28,29,6.4,31,163,2018/06/21 00:00:00+00,44.44417,-67.89219,EK,b7141434-d0f9-4189-9acc-e897bc72383e
586677.1366,4921011.5703,291,EK008.50,A,30,2.1,0.2,22,4,31,163,2018/06/18 00:00:00+00,44.43722,-67.91086,EK,a9064bab-8557-432f-a688-3732e3f1b4ec
586580.3785,4919248.2972,292,EK008.90,A,30,2.3,0.23,15,4.7,31,163,2018/08/07 00:00:00+00,44.42136,-67.91237,EK,43a6ca3c-1dee-4f18-ae09-f39310c2ec9c
