X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area,GlobalID
518900.3422,4916561.0605,39,EA023.00,CA,30,30,4.5,0.72,600,38.1,31,163,2013/05/06 00:00:00+00,44.4020899999097,-68.76265000058,EA,c1a591c1-b762-4e4f-9a78-abaaa80738c1
517527.2196,4915183.2107,40,EA024.00,CA,30,30,2.4,0.3,44,5.9,31,163,2013/05/06 00:00:00+00,44.389720000272,-68.7799400005351,EA,653fb4d1-9e3e-4134-907d-335545fc5632
518936.3188,4913218.8787,42,EA026.00,A,30,30,2.7,0.3,24,6.6,31,163,2013/05/06 00:00:00+00,44.3720000000621,-68.7623200000184,EA,4da48640-e4bb-41a1-8ab1-7cad9c6e22bf
519110.8932,4912370.7671,43,EA027.00,A,30,30,2.4,0.24,16,5.1,31,163,2015/07/07 00:00:00+00,44.3643599997046,-68.7601600006085,EA,acea1046-ffa9-4b79-bfe6-bb1b082274ed
518645.1175,4911684.0829,44,EA028.00,A,30,30,2.3,0.26,40,4.9,31,163,2015/07/07 00:00:00+00,44.3581900000158,-68.7660299999108,EA,98d7bcd0-ede2-4459-acb8-639c98bfb02b
517126.5729,4913065.0379,45,EA029.00,CA,30,30,2.5,0.29,35,6.1,31,163,2015/07/07 00:00:00+00,44.3706599998165,-68.7850400003905,EA,277de7ed-7dc5-4d13-8daf-75b3dae62c54
516909.1367,4913036.7021,47,EA031.00,CA,30,30,3.3,0.52,132,15.5,31,163,2015/07/07 00:00:00+00,44.3704099997675,-68.7877700002848,EA,d5d10d1b-a41d-43d5-b032-f84acb093d06
515757.8278,4906432.6276,54,EB001.00,A,30,30,2.6,0.29,26,6.3,31,163,2013/02/25 00:00:00+00,44.3109799996095,-68.8024200003568,EB,4749af01-f6bc-4445-b5ae-8da0db0ff5bb
516832.6222,4907478.2966,55,EB002.00,A,30,30,3.1,0.38,50,9.8,31,163,2013/02/25 00:00:00+00,44.3203700000348,-68.7889100003976,EB,e50b2300-4e95-4c79-a6c7-077fca46e0f5
518159.3318,4908123.8596,56,EB003.00,A,30,30,2.3,0.2,12,4.3,31,163,2014/04/09 00:00:00+00,44.3261499996925,-68.7722500004474,EB,9f30105f-20e3-4b08-85bd-a43ee3eb3dc0
519963.6206,4910766.0514,57,EB004.00,A,30,30,3.3,0.52,80,16.1,31,163,2014/09/02 00:00:00+00,44.349889999916,-68.7495199998943,EB,9430f7a9-deef-46e8-86fb-d5e690d4cccc
520340.1403,4908868.9315,58,EB004.50,P,30,30,2.8,0.42,78,10,31,163,2013/04/01 00:00:00+00,44.3327999998594,-68.744870000187,EB,2f78a01c-2ea2-409b-bc75-edbfb8d22a88
522376.3931,4907452.7079,65,EB009.00,P,30,30,2.2,0.18,10,3.8,31,163,2013/04/01 00:00:00+00,44.3199900002057,-68.7193900000645,EB,92ce9d02-7976-4c0b-9e47-7bb664966a7f
523272.6682,4906790.4943,66,EB010.00,P,30,30,2.1,0.14,7.3,3.2,31,163,2013/02/25 00:00:00+00,44.3139999996042,-68.7081799998839,EB,a7e02a74-e270-4aca-a345-4dddb291bd3e
525628.3769,4905401.97,68,EB012.00,A,30,30,2.2,0.23,27,4.5,31,163,2013/02/25 00:00:00+00,44.301420000387,-68.6787099998214,EB,b11fb61f-8028-4e2a-b867-65429d499f95
525976.3298,4904959.0402,69,EB013.00,A,30,30,2.5,0.35,60,7.4,31,163,2013/02/25 00:00:00+00,44.2974199997564,-68.6743700001904,EB,4a8e902a-a85b-4bd9-97ea-4d853fc5b7c9
529432.2259,4903698.5196,71,EB014.50,A,30,30,2.8,0.48,400,11.9,31,163,2013/04/22 00:00:00+00,44.285939999932,-68.6311199997129,EB,c22bcfe7-c9c3-428c-ba50-622b1f9b4a82
529568.7393,4904742.1365,72,EB015.00,CA,30,30,2.6,0.32,20,6.8,31,163,2014/07/30 00:00:00+00,44.2953300002928,-68.6293499995857,EB,5d2020fd-ae5e-413f-b01e-57d50f73c204
530809.0517,4905636.4668,73,EB015.80,R,30,30,3.9,0.51,620,17.9,31,163,2015/06/01 00:00:00+00,44.3033300000189,-68.613750000513,EB,f67afc11-5880-4205-a5de-7f710732981a
