X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area
514418.325,4914209.2385,1,EA001.00,A,30,30,2.1,0.22,22,4.1,31,163,2012/04/02 00:00:00+00,44.38102,-68.819,EA
516928.5648,4916295.7247,4,EA003.50,P,30,30,2.2,0.22,18,4.4,31,163,2012/04/02 00:00:00+00,44.39975,-68.78742,EA
515741.6422,4916119.4726,5,EA004.00,P,30,30,3.2,0.49,200,14.2,31,163,2012/04/02 00:00:00+00,44.39819,-68.80233,EA
518018.146,4916806.2638,6,EA005.00,P,30,30,2.3,0.32,92,6,31,163,2012/04/02 00:00:00+00,44.40432,-68.77372,EA
518997.314,4919353.8145,7,EA006.00,CA,30,30,2.3,0.24,25,4.7,31,163,2014/06/03 00:00:00+00,44.42723,-68.76133,EA
520438.7005,4920153.4906,8,EA007.00,A,30,30,2.6,0.48,580,10.8,31,163,2012/04/02 00:00:00+00,44.43439,-68.74319,EA
521790.3737,4922687.1132,10,EA009.00,A,30,30,2.8,0.47,220,11.6,31,163,2012/04/02 00:00:00+00,44.45716,-68.7261,EA
520818.9115,4923704.7396,12,EA011.00,R,30,30,6.7,0.63,140,44.3,31,163,2012/04/18 00:00:00+00,44.46635,-68.73827,EA
521822.0199,4923925.7401,13,EA012.00,R,30,30,6,0.81,1700,66.2,31,163,2012/04/18 00:00:00+00,44.46831,-68.72565,EA
522288.559,4923569.6498,14,EA013.00,A,30,30,3.6,0.6,300,21.5,31,163,2012/04/02 00:00:00+00,44.46509,-68.7198,EA
523146.9769,4923313.8346,15,EA014.00,P,30,30,4.3,0.57,260,23.4,31,163,2012/04/02 00:00:00+00,44.46276,-68.70902,EA
523179.7605,4922373.1191,16,EA014.90,P,30,30,4.9,0.53,300,23.6,31,163,2012/04/02 00:00:00+00,44.45429,-68.70865,EA
523398.9255,4922269.4899,17,EA015.00,P,30,30,5.8,0.66,600,41.5,31,163,2012/04/02 00:00:00+00,44.45335,-68.7059,EA
522832.8039,4921939.7992,18,EA015.50,A,30,30,3.8,0.59,860,22.6,31,163,2012/04/02 00:00:00+00,44.4504,-68.71303,EA
521816.9731,4920684.4692,20,EA017.00,A,30,30,2.4,0.22,12,4.7,31,163,2012/04/02 00:00:00+00,44.43913,-68.72585,EA
523525.0949,4916189.5572,22,EA019.00,A,30,30,3.8,0.48,92,16.4,31,163,2012/06/11 00:00:00+00,44.39861,-68.70459,EA
523555.7234,4915867.5443,23,EA019.10,A,30,30,2.6,0.35,100,7.3,31,163,2012/08/06 00:00:00+00,44.39571,-68.70422,EA
525130.5144,4915790.1141,25,EA019.20,A,30,30,2.9,0.43,182,10.6,31,163,2012/08/06 00:00:00+00,44.39496,-68.68445,EA
525223.301,4915686.0597,28,EA019.23,A,30,30,4.4,0.44,112,16.1,31,163,2012/05/07 00:00:00+00,44.39402,-68.68329,EA
525101.589,4915442.3312,29,EA019.27,A,30,30,2.8,0.41,78,9.8,31,163,2012/05/07 00:00:00+00,44.39183,-68.68483,EA
525836.0739,4914599.9019,31,EA019.38,A,30,30,2.7,0.47,146,11.1,31,163,2012/05/07 00:00:00+00,44.38422,-68.67565,EA
526097.3777,4914592.0556,32,EA019.39,A,30,30,3.1,0.45,122,12.1,31,163,2012/05/07 00:00:00+00,44.38414,-68.67237,EA
525978.3102,4914287.2293,35,EA019.42,A,30,30,3.3,0.44,108,12.7,31,163,2012/06/11 00:00:00+00,44.3814,-68.67388,EA
520565.5778,4917525.8039,37,EA021.00,A,30,30,2.6,0.37,52,7.9,31,163,2012/04/02 00:00:00+00,44.41073,-68.7417,EA
518900.3422,4916561.0605,39,EA023.00,CA,30,30,3.5,0.67,600,26.3,31,163,2014/06/03 00:00:00+00,44.40209,-68.76265,EA
517527.2196,4915183.2107,40,EA024.00,CA,30,30,2.4,0.23,18,4.8,31,163,2014/07/01 00:00:00+00,44.38972,-68.77994,EA
518936.3188,4913218.8787,42,EA026.00,A,30,30,2.5,0.31,46,6.5,31,163,2012/04/02 00:00:00+00,44.372,-68.76232,EA
519110.8932,4912370.7671,43,EA027.00,A,30,30,2.3,0.23,16,4.7,31,163,2012/04/02 00:00:00+00,44.36436,-68.76016,EA
518645.1175,4911684.0829,44,EA028.00,A,30,30,2.2,0.26,40,5,31,163,2012/04/02 00:00:00+00,44.35819,-68.76603,EA
517126.5729,4913065.0379,45,EA029.00,CA,30,30,2.5,0.28,34,5.7,31,163,2014/06/03 00:00:00+00,44.37066,-68.78504,EA
516909.1367,4913036.7021,47,EA031.00,CA,30,30,2.7,0.42,132,9.3,31,163,2014/06/03 00:00:00+00,44.37041,-68.78777,EA
515757.8278,4906432.6276,54,EB001.00,A,30,30,2.6,0.27,26,6,31,163,2012/01/09 00:00:00+00,44.31098,-68.80242,EB
516832.6222,4907478.2966,55,EB002.00,A,30,30,2.6,0.31,46,6.8,31,163,2012/01/09 00:00:00+00,44.32037,-68.78891,EB
518159.3318,4908123.8596,56,EB003.00,A,30,30,2.2,0.17,8,3.8,31,163,2013/08/05 00:00:00+00,44.32615,-68.77225,EB
519963.6206,4910766.0514,57,EB004.00,A,30,30,2.9,0.45,68,11,31,163,2014/02/03 00:00:00+00,44.34989,-68.74952,EB
520340.1403,4908868.9315,58,EB004.50,P,30,30,2.9,0.43,78,10.9,31,163,2012/01/09 00:00:00+00,44.3328,-68.74487,EB
522376.3931,4907452.7079,65,EB009.00,P,30,30,2,0.11,8,2.8,31,163,2012/01/09 00:00:00+00,44.31999,-68.71939,EB
523272.6682,4906790.4943,66,EB010.00,P,30,30,1.9,0.05,4,2.3,31,163,2012/01/09 00:00:00+00,44.314,-68.70818,EB
525628.3769,4905401.97,68,EB012.00,A,30,30,2.7,0.43,102,9.9,31,163,2012/01/09 00:00:00+00,44.30142,-68.67871,EB
525976.3298,4904959.0402,69,EB013.00,A,30,30,2.4,0.35,60,7,31,163,2012/01/09 00:00:00+00,44.29742,-68.67437,EB
529432.2259,4903698.5196,71,EB014.50,A,30,30,2.6,0.44,400,9.9,31,163,2012/01/09 00:00:00+00,44.28594,-68.63112,EB
529568.7393,4904742.1365,72,EB015.00,CA,30,30,2.2,0.23,13,4.4,31,163,2014/07/01 00:00:00+00,44.29533,-68.62935,EB
530809.0517,4905636.4668,73,EB015.80,R,30,30,3,0.48,620,12.6,31,163,2014/02/03 00:00:00+00,44.30333,-68.61375,EB
530999.2786,4905724.0048,74,EB016.00,A,30,30,3.3,0.43,180,12.2,31,163,2012/07/11 00:00:00+00,44.30411,-68.61136,EB
530369.844,4904711.3711,76,EB016.50,CA,30,30,2.5,0.3,22,6.1,31,163,2014/05/05 00:00:00+00,44.29502,-68.61931,EB
532901.9856,4901218.0478,79,EB018.50,CA,29,25,2.4,0.3,62,6,33,177,2012/06/20 00:00:00+00,44.26346,-68.58779,EB
533493.8384,4901143.2934,80,EB019.00,CA,30,30,2.8,0.42,88,9.7,31,163,2014/06/03 00:00:00+00,44.26276,-68.58038,EB
534810.7768,4899662.8496,81,EB020.00,A,30,30,2.1,0.18,14,3.7,31,163,2012/01/09 00:00:00+00,44.24937,-68.56398,EB
537181.3335,4897391.0303,83,EB022.00,A,30,30,1.9,0,2,1.9,31,163,2012/01/09 00:00:00+00,44.2288,-68.53445,EB
524632.8831,4904126.3359,84,EC001.00,A,30,30,2.4,0.32,42,6.5,31,163,2012/01/09 00:00:00+00,44.28997,-68.69125,EC
524882.7126,4903678.5375,85,EC001.50,A,30,30,2.4,0.29,33,5.9,31,163,2012/01/09 00:00:00+00,44.28593,-68.68814,EC
525021.4635,4903282.5285,86,EC002.00,A,30,30,2.5,0.32,24,6.7,31,163,2012/01/09 00:00:00+00,44.28236,-68.68642,EC
522371.7022,4902991.9204,88,EC003.80,A,30,30,2.3,0.2,11,4.3,31,163,2012/01/09 00:00:00+00,44.27983,-68.71964,EC
522453.523,4903099.9429,89,EC004.00,R,30,30,3.5,0.5,76,15.9,31,163,2012/01/09 00:00:00+00,44.2808,-68.71861,EC
521920.493,4904051.1573,90,EC005.00,A,30,30,2.2,0.26,42,4.8,31,163,2012/01/09 00:00:00+00,44.28938,-68.72525,EC
521472.941,4905984.5977,92,EC006.10,A,30,30,1.9,0.05,4,2.3,31,163,2012/01/09 00:00:00+00,44.3068,-68.73078,EC
525626.1212,4902717.2737,94,EC007.00,A,30,30,2.6,0.31,28,6.6,31,163,2012/01/09 00:00:00+00,44.27725,-68.67887,EC
529832.412,4898166.5614,97,EC009.00,A,30,30,2.6,0.3,29,6.3,31,163,2012/01/09 00:00:00+00,44.23612,-68.62642,EC
528218.0044,4895867.9535,98,EC010.00,A,30,30,3.2,0.41,34,10.8,31,163,2012/01/09 00:00:00+00,44.21549,-68.64676,EC
534286.5693,4894095.2145,100,EC012.00,A,30,30,2.4,0.28,32,5.6,31,163,2012/01/09 00:00:00+00,44.19927,-68.57091,EC
534151.7131,4893137.0479,101,EC013.00,A,30,30,2,0.09,4,2.7,31,163,2012/01/09 00:00:00+00,44.19065,-68.57266,EC
533541.4879,4892910.6439,102,EC014.00,A,30,30,2.3,0.22,22,4.4,31,163,2012/01/09 00:00:00+00,44.18864,-68.58031,EC
529878.3356,4895446.555,104,EC016.00,A,30,30,2.8,0.39,29,9.2,31,163,2012/01/09 00:00:00+00,44.21163,-68.626,EC
527930.5469,4896213.2751,105,EC017.00,A,30,30,3.4,0.38,35,10.5,31,163,2012/01/09 00:00:00+00,44.21861,-68.65034,EC
527351.7443,4895942.038,106,EC017.50,A,30,30,3.2,0.52,700,15.2,31,163,2012/01/17 00:00:00+00,44.21619,-68.6576,EC
526502.1308,4895657.5354,107,EC017.70,A,30,30,2.7,0.4,62,8.9,31,163,2012/02/27 00:00:00+00,44.21366,-68.66825,EC
525444.3355,4895062.4378,109,EC018.00,R,30,30,5.3,0.73,680,46.8,31,163,2012/02/27 00:00:00+00,44.20834,-68.68152,EC
526907.2265,4893886.4468,111,EC019.00,A,30,30,3.6,0.46,64,14.7,31,163,2012/02/27 00:00:00+00,44.1977,-68.66327,EC
527426.3134,4893197.7163,112,EC019.70,P,30,30,2.9,0.42,96,10.2,31,163,2012/02/27 00:00:00+00,44.19148,-68.65681,EC
527184.5366,4892914.5847,114,EC020.00,P,30,30,3.1,0.47,96,12.7,31,163,2012/02/27 00:00:00+00,44.18894,-68.65985,EC
529750.0335,4892023.783,115,EC021.00,A,30,30,2.8,0.41,140,9.7,31,163,2012/02/27 00:00:00+00,44.18082,-68.6278,EC
528728.3976,4891133.9818,118,EC021.90,A,30,30,3,0.33,31,8.2,31,163,2012/01/17 00:00:00+00,44.17285,-68.64063,EC
528564.6179,4891294.3244,119,EC022.00,A,30,30,2.5,0.29,31,6.1,31,163,2012/01/17 00:00:00+00,44.1743,-68.64267,EC
527887.273,4891541.3305,121,EC022.30,P,30,30,3.5,0.52,134,16.5,31,163,2012/02/27 00:00:00+00,44.17655,-68.65113,EC
527918.6961,4891294.8812,122,EC022.40,A,30,30,2.6,0.31,40,6.5,31,163,2012/02/27 00:00:00+00,44.17433,-68.65075,EC
528675.9937,4889585.3924,124,EC023.50,A,30,30,2.3,0.24,12,4.8,31,163,2012/01/17 00:00:00+00,44.15891,-68.64137,EC
525423.3168,4888721.1976,128,EC026.20,A,30,30,2.5,0.33,38,6.8,31,163,2012/01/17 00:00:00+00,44.15125,-68.68209,EC
524710.1759,4889092.794,130,EC026.70,A,30,30,2.2,0.21,16,4.2,31,163,2012/01/17 00:00:00+00,44.15462,-68.69099,EC
524117.6231,4889964.7346,132,EC026.90,P,30,30,2.6,0.42,140,9.3,31,163,2012/01/17 00:00:00+00,44.16249,-68.69836,EC
524494.535,4890093.8613,133,EC027.00,R,30,30,4,0.47,200,16.5,31,163,2012/01/17 00:00:00+00,44.16364,-68.69364,EC
524135.3404,4890365.7715,134,EC027.40,A,30,30,3.7,0.55,360,19,31,163,2012/01/17 00:00:00+00,44.1661,-68.69812,EC
523999.4367,4891894.7451,136,EC027.80,A,30,30,2.2,0.24,27,4.7,31,163,2012/01/17 00:00:00+00,44.17987,-68.69975,EC
524166.4827,4892332.9845,137,EC028.00,R,30,30,6.1,0.53,120,29.8,31,163,2012/01/17 00:00:00+00,44.18381,-68.69764,EC
523432.1248,4891836.0506,138,EC028.40,A,30,30,3.6,0.39,24,11.6,31,163,2012/02/27 00:00:00+00,44.17936,-68.70685,EC
522567.2506,4895556.1898,142,EC031.00,A,30,30,2,0.11,7.3,2.9,31,163,2012/01/17 00:00:00+00,44.21288,-68.71751,EC
525465.5439,4896803.0455,144,EC033.00,P,30,30,2.7,0.41,72,9.4,31,163,2012/01/17 00:00:00+00,44.22401,-68.68117,EC
