X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area
514418.325,4914209.2385,1,EA001.00,A,30,30,2.4,0.26,22,5.3,31,163,2015/05/04 00:00:00+00,44.3810200002098,-68.8190000002229,EA
516928.5648,4916295.7247,2,EA003.50,P,30,30,2.1,0.13,8,3.1,31,163,2015/05/04 00:00:00+00,44.3997500002763,-68.7874199997946,EA
518018.146,4916806.2638,3,EA005.00,P,30,30,2.4,0.34,92,6.5,31,163,2015/05/04 00:00:00+00,44.4043199998992,-68.7737200001464,EA
518997.314,4919353.8145,4,EA006.00,CA,30,30,2.6,0.34,34,7.2,31,163,2015/01/06 00:00:00+00,44.4272300000475,-68.7613299998742,EA
520438.7005,4920153.4906,5,EA007.00,A,30,30,2.7,0.37,118,8.3,31,163,2015/06/15 00:00:00+00,44.4343900001973,-68.7431900005232,EA
521790.3737,4922687.1132,6,EA009.00,A,30,30,3.3,0.48,78,13.8,31,163,2015/06/15 00:00:00+00,44.4571600002893,-68.7260999997842,EA
521249.878,4923024.1137,7,EA010.00,A,25,25,3.8,0.53,132,18.8,31,163,2016/04/19 00:00:00+00,44.4602099996664,-68.732880000457,EA
520818.9115,4923704.7396,8,EA011.00,R,30,30,5.8,0.62,140,36.5,31,163,2012/08/07 00:00:00+00,44.466349999566,-68.7382699999856,EA
521822.0199,4923925.7401,9,EA012.00,R,30,30,7,0.69,900,54.9,31,163,2015/06/15 00:00:00+00,44.4683100001176,-68.7256500005379,EA
522288.559,4923569.6498,10,EA013.00,A,30,30,4.5,0.55,300,23.8,31,163,2015/06/15 00:00:00+00,44.4650899999879,-68.7198000000433,EA
523146.9769,4923313.8346,11,EA014.00,P,30,30,5,0.61,220,31.2,31,163,2015/06/15 00:00:00+00,44.4627599996049,-68.7090199993955,EA
523179.7605,4922373.1191,12,EA014.90,A,30,30,3.7,0.43,152,13.4,31,163,2010/01/11 00:00:00+00,44.4542900000176,-68.7086500001625,EA
523398.9255,4922269.4899,13,EA015.00,P,30,30,8.5,0.67,600,61.8,31,163,2015/06/15 00:00:00+00,44.4533500003729,-68.7058999996185,EA
522832.8039,4921939.7992,14,EA015.50,A,30,30,3.9,0.61,860,23.6,31,163,2015/06/15 00:00:00+00,44.4503999997663,-68.7130300004166,EA
521816.9731,4920684.4692,15,EA017.00,A,30,30,2.3,0.24,15,4.9,31,163,2015/06/15 00:00:00+00,44.4391300001645,-68.7258499996945,EA
523525.0949,4916189.5572,16,EA019.00,A,30,30,4,0.45,92,15.7,31,163,2015/05/18 00:00:00+00,44.398610000332,-68.7045899997035,EA
523555.7234,4915867.5443,17,EA019.10,A,30,30,3,0.42,100,10.6,31,163,2015/05/18 00:00:00+00,44.3957099997712,-68.7042199999364,EA
525130.5144,4915790.1141,18,EA019.20,A,30,30,4.4,0.61,360,26.9,31,163,2015/05/18 00:00:00+00,44.3949599996036,-68.6844500005407,EA
525223.301,4915686.0597,19,EA019.23,A,30,30,5.6,0.57,122,30.5,31,163,2015/04/27 00:00:00+00,44.3940199995927,-68.6832900006281,EA
525101.589,4915442.3312,20,EA019.27,A,30,30,3.3,0.5,114,14.7,31,163,2015/04/27 00:00:00+00,44.391829999587,-68.6848300001498,EA
525836.0739,4914599.9019,21,EA019.38,A,30,30,3.9,0.59,280,22.7,31,163,2015/04/27 00:00:00+00,44.3842200003837,-68.6756500003932,EA
526097.3777,4914592.0556,22,EA019.39,A,30,30,4.8,0.62,460,30,31,163,2015/04/27 00:00:00+00,44.3841399999404,-68.6723699997889,EA
